Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
454,2:23:43,Constantina DITA-TOMESCU,1970-01-23,ROU,6,London (GBR),2003-04-13,33,50,2003,8623.0
455,2:23:43,Mulu SEBOKA,1984-09-25,ETH,2,Daegu (KOR),2013-04-14,28,36,2013,8623.0
456,2:23:43,Ashete BEKERE,1988-04-17,ETH,9,Dubai (UAE),2015-01-23,26,32,2015,8623.0
457,2:23:43,Yebrgual MELESE,1990-04-18,ETH,2,"Chicago, IL (USA)",2015-10-11,25,30,2015,8623.0
458,2:23:43,Stella BARSOSIO,1993-03-12,KEN,5,Paris (FRA),2018-04-08,25,27,2018,8623.0
459,2:23:43,Bedatu HIRPA,1999-04-28,ETH,5,Tokyo (JPN),2019-03-03,19,21,2019,8623.0
460,2:23:44,Catherina MCKIERNAN,1969-11-30,IRL,1,Berlin (GER),1997-09-28,27,51,1997,8624.0
461,2:23:44,Dire TUNE,1985-06-19,ETH,2,Frankfurt (GER),2010-10-31,25,35,2010,8624.0
462,2:23:44,Valeria STRANEO,1976-04-05,ITA,2,Rotterdam (NED),2012-04-15,36,44,2012,8624.0
463,2:23:44,Sharon Jemutai CHEROP,1984-03-16,KEN,2,Frankfurt (GER),2014-10-26,30,36,2014,8624.0
464,2:23:44,Desi Jisa MOKONIN,1997-07-12,BRN,1,Seoul (KOR),2019-03-17,21,23,2019,8624.0
465,2:23:45,Constantina DITA-TOMESCU,1970-01-23,ROU,1,"Chicago, IL (USA)",2004-10-10,34,50,2004,8625.0
466,2:23:45,Eunice Jepkirui KIRWA,1984-05-20,KEN,5,Frankfurt (GER),2013-10-27,29,36,2013,8625.0
467,2:23:46,Tegla LOROUPE,1973-05-09,KEN,2,Osaka (JPN),1999-01-31,25,47,1999,8626.0
468,2:23:46,Paula RADCLIFFE,1973-12-17,GBR,3,Berlin (GER),2011-09-25,37,46,2011,8626.0
469,2:23:46,Rahma TUSA,1993-09-14,ETH,1,Roma (ITA),2018-04-08,24,27,2018,8626.0
470,2:23:46,Linet Chepkwemoi MASAI,1989-12-05,KEN,5,Amsterdam (NED),2018-10-21,28,31,2018,8626.0
471,2:23:47,Maura VICECONTE,1967-10-03,ITA,1,Wien (AUT),2000-05-21,32,53,2000,8627.0
472,2:23:47,Mao KIYOTA,1993-09-12,JPN,3,Nagoya (JPN),2017-03-12,23,27,2017,8627.0
473,2:23:47,Visiline JEPKESHO,1989-12-30,KEN,1,Rotterdam (NED),2018-04-08,28,30,2018,8627.0
474,2:23:48,Yumiko HARA,1982-01-09,JPN,1,Osaka (JPN),2007-01-28,25,38,2007,8628.0
475,2:23:48,Honami MAEDA,1996-07-17,JPN,2,Osaka (JPN),2018-01-28,21,24,2018,8628.0
476,2:23:49,Yebrgual MELESE,1990-04-18,ETH,1,Praha (CZE),2015-05-03,25,30,2015,8629.0
477,2:23:49,Sifan MELAKU,1997-01-01,ETH,3,Sevilla (ESP),2020-02-23,23,23,2020,8629.0
478,2:23:50,Atsede BAYISA,1987-04-16,ETH,4,London (GBR),2011-04-17,24,33,2011,8630.0
479,2:23:50,Amane GOBENA,1986-09-11,ETH,3,Dubai (UAE),2013-01-25,26,34,2013,8630.0
480,2:23:50,Vivian Jepkemoi CHERUIYOT,1983-09-11,KEN,4,London (GBR),2017-04-23,33,37,2017,8630.0
481,2:23:50,Hiwot GEBREKIDAN,1995-05-11,ETH,1,Guangzhou (CHN),2019-12-08,24,25,2019,8630.0
482,2:23:50,Peres JEPCHIRCHIR,1993-09-27,KEN,1,Saitama (JPN),2019-12-08,26,27,2019,8630.0
483,2:23:51,Lisa MARTIN,1960-05-12,AUS,1,Osaka (JPN),1988-01-31,27,60,1988,8631.0
484,2:23:51,Birhane DIBABA,1993-09-11,ETH,2,Nagoya (JPN),2013-03-10,19,27,2013,8631.0
485,2:23:51,Bruktayit ESHETU,1990-09-29,ETH,3,"Houston, TX (USA)",2015-01-18,24,30,2015,8631.0
486,2:23:52,Constantina DITA-TOMESCU,1970-01-23,ROU,2,Amsterdam (NED),2002-10-20,32,50,2002,8632.0
487,2:23:52,Albina MAYOROVA,1977-05-16,RUS,1,Nagoya (JPN),2012-03-11,34,43,2012,8632.0
488,2:23:52,Mamitu DASKA,1983-10-16,ETH,3,Frankfurt (GER),2012-10-28,29,37,2012,8632.0
489,2:23:52,Koren Jelila YAL,1987-01-18,ETH,3,Frankfurt (GER),2015-10-25,28,33,2015,8632.0
490,2:23:52,Reia IWADE,1994-12-08,JPN,5,Nagoya (JPN),2019-03-10,24,26,2019,8632.0
491,2:23:52,Helen BEKELE,1994-11-21,ETH,6,Nagoya (JPN),2020-03-08,25,26,2020,8632.0
492,2:23:53,Teyba ERKESSO,1982-10-30,ETH,1,"Houston, TX (USA)",2010-01-17,27,38,2010,8633.0
493,2:23:53,Asselefech MEDESSA MERGIA,1985-01-23,ETH,4,London (GBR),2015-04-26,30,35,2015,8633.0
494,2:23:53,Selly Chepyego KAPTICH,1985-10-03,KEN,4,Paris (FRA),2019-04-14,33,35,2019,8633.0
495,2:23:54,Agnes KIPROP,1980-01-14,KEN,2,Frankfurt (GER),2011-10-30,31,40,2011,8634.0
496,2:23:54,Volha MAZURONAK,1989-04-14,BLR,4,London (GBR),2016-04-24,27,31,2016,8634.0
497,2:23:54,Afera GODFAY,1991-09-25,ETH,4,Shanghai (CHN),2018-11-18,27,29,2018,8634.0
498,2:23:55,Lornah KIPLAGAT,1974-05-01,KEN,1,Osaka (JPN),2002-01-27,27,46,2002,8635.0
499,2:23:55,Catherine NDEREBA,1972-07-21,KEN,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,31,48,2003,8635.0
500,2:23:55,Constantina DITA-TOMESCU,1970-01-23,ROU,3,London (GBR),2007-04-22,37,50,2007,8635.0
501,2:23:56,Yoshimi OZAKI,1981-07-01,JPN,1,Yokohama (JPN),2011-02-20,29,39,2011,8636.0
502,2:23:56,Mary Jepkosgei KEITANY,1982-01-18,KEN,4,"Olympic Stadium, London (GBR)",2012-08-05,30,38,2012,8636.0
503,2:23:57,Joyce CHEPCHUMBA,1970-11-06,KEN,1,"Chicago, IL (USA)",1998-10-11,27,50,1998,8637.0
504,2:23:57,Derartu TULU,1972-03-21,ETH,1,London (GBR),2001-04-22,29,48,2001,8637.0
505,2:23:57,Xiaolin ZHU,1984-02-20,CHN,3,Beijing (CHN),2002-10-13,18,36,2002,8637.0
506,2:23:57,Reiko TOSA,1976-06-11,JPN,1,Nagoya (JPN),2004-03-14,27,44,2004,8637.0
507,2:23:57,Sharon Jemutai CHEROP,1984-03-16,KEN,1,Torino (ITA),2012-11-18,28,36,2012,8637.0
508,2:23:57,Asselefech MEDESSA MERGIA,1985-01-23,ETH,5,London (GBR),2016-04-24,31,35,2016,8637.0
509,2:23:57,Melat Yisak KEJETA,1992-09-27,GER,6,Berlin (GER),2019-09-29,27,28,2019,8637.0
510,2:23:58,Marleen RENDERS,1968-12-24,BEL,2,Berlin (GER),1999-09-26,30,51,1999,8638.0
511,2:23:58,Yoko SHIBUI,1979-03-14,JPN,2,Nagoya (JPN),2006-03-12,26,41,2006,8638.0
512,2:23:58,Aberu KEBEDE,1986-09-12,ETH,1,Berlin (GER),2010-09-26,24,34,2010,8638.0
513,2:23:58,Bezunesh BEKELE,1983-01-29,ETH,4,Frankfurt (GER),2012-10-28,29,37,2012,8638.0
514,2:23:58,Birhane DIBABA,1993-09-11,ETH,2,Berlin (GER),2016-09-25,23,27,2016,8638.0
515,2:23:59,Mari OZAKI,1975-07-16,JPN,2,Osaka (JPN),2005-01-30,29,45,2005,8639.0
516,2:23:59,Abebech AFEWORK,1990-12-11,ETH,2,Rotterdam (NED),2013-04-14,22,30,2013,8639.0
517,2:23:59,Gulume CHALA,1992-09-11,ETH,4,Shanghai (CHN),2017-11-12,25,28,2017,8639.0
518,2:23:59,Monica JEPKOECH,1983-01-01,KEN,6,Nagoya (JPN),2019-03-10,36,37,2019,8639.0
519,2:24:00,Susan CHEPKEMEI,1975-06-25,KEN,3,London (GBR),2005-04-17,29,45,2005,8640.0
520,2:24:00,Sutume Asefa KEBEDE,1994-12-11,ETH,4,Dubai (UAE),2016-01-22,21,26,2016,8640.0
521,2:24:00,Sara DOSSENA,1984-11-22,ITA,7,Nagoya (JPN),2019-03-10,34,36,2019,8640.0
522,2:24:01,Jelena PROKOPČUKA,1976-09-21,LAT,7,London (GBR),2003-04-13,26,44,2003,8641.0
523,2:24:02,Joyce CHEPCHUMBA,1970-11-06,KEN,1,Tokyo (JPN),2000-11-19,30,50,2000,8642.0
524,2:24:02,Yanan WEI,1981-12-06,CHN,2,Beijing (CHN),2001-10-14,19,39,2001,8642.0
525,2:24:02,Bezunesh BEKELE,1983-01-29,ETH,1f1,Dubai (UAE),2009-01-16,25,37,2009,8642.0
526,2:24:02,Ababel YESHANEH,1991-07-22,ETH,6,Tokyo (JPN),2019-03-03,27,29,2019,8642.0
527,2:24:03,Agnes Jeruto KIPROTICH,1982-02-05,KEN,3,Daegu (KOR),2013-04-14,31,38,2013,8643.0
528,2:24:03,Helah Jelagat KIPROP,1985-04-07,KEN,2,Tokyo (JPN),2015-02-22,29,35,2015,8643.0
529,2:24:03,Wude AYALEW,1987-07-04,ETH,2,Abu Dhabi (UAE),2019-12-06,32,33,2019,8643.0
530,2:24:04,Svetlana ZAKHAROVA,1970-09-15,RUS,2,London (GBR),2001-04-22,30,50,2001,8644.0
531,2:24:04,Aberu KEBEDE,1986-09-12,ETH,6,London (GBR),2012-04-22,25,34,2012,8644.0
532,2:24:04,Workenesh EDESA,1992-09-11,ETH,1,Xiamen (CHN),2016-01-02,23,28,2016,8644.0
533,2:24:04,Jemima Jelagat SUMGONG,1984-12-21,KEN,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,31,35,2016,8644.0
534,2:24:04,Tadelech BEKELE ALEMU,1991-04-11,ETH,4,Dubai (UAE),2017-01-20,25,29,2017,8644.0
535,2:24:04,Hirut TIBEBU,1994-12-13,ETH,4,Praha (CZE),2017-05-07,22,26,2017,8644.0
536,2:24:05,Mizuki NOGUCHI,1978-07-03,JPN,3,Nagoya (JPN),2013-03-10,34,42,2013,8645.0
537,2:24:05,Desi Jisa MOKONIN,1997-07-12,BRN,8,Dubai (UAE),2018-01-26,20,23,2018,8645.0
538,2:24:05,Hirut TIBEBU,1994-12-13,ETH,2,Seoul (KOR),2019-03-17,24,26,2019,8645.0
539,2:24:06,Yeshi ESAYIAS,1985-12-28,ETH,6,Frankfurt (GER),2013-10-27,27,34,2013,8646.0
540,2:24:07,Junxia WANG,1973-01-09,CHN,1,Tianjin (CHN),1993-04-04,20,47,1993,8647.0
541,2:24:07,Agnes KIPROP,1980-01-14,KEN,3,Frankfurt (GER),2010-10-31,30,40,2010,8647.0
542,2:24:07,Jelena PROKOPČUKA,1976-09-21,LAT,1,Nagoya (JPN),2014-03-09,37,44,2014,8647.0
543,2:24:07,Jelena PROKOPČUKA,1976-09-21,LAT,1,Osaka (JPN),2015-01-25,38,44,2015,8647.0
544,2:24:08,Adriana FERNÁNDEZ MIRANDA,1971-04-04,MEX,2,London (GBR),1999-04-18,28,49,1999,8648.0
545,2:24:08,Hirut TIBEBU,1994-12-13,ETH,1,Seoul (KOR),2018-03-18,23,26,2018,8648.0
546,2:24:08,Marta MEGRA,1990-12-30,ETH,6,Paris (FRA),2018-04-08,27,29,2018,8648.0
547,2:24:09,Yukiko AKABA,1979-10-18,JPN,5,London (GBR),2011-04-17,31,41,2011,8649.0
548,2:24:09,Kebebush Haile LEMA,1986-04-13,ETH,1,Shanghai (CHN),2011-12-04,25,34,2011,8649.0
549,2:24:09,Ashu KASIM,1984-10-20,ETH,2,Shanghai (CHN),2012-12-02,28,36,2012,8649.0
550,2:24:09,Mare DIBABA,1989-10-20,ETH,6,London (GBR),2016-04-24,26,31,2016,8649.0
551,2:24:09,Kayoko FUKUSHI,1982-03-25,JPN,8,Nagoya (JPN),2019-03-10,36,38,2019,8649.0
552,2:24:10,Gladys CHERONO,1983-05-12,KEN,4,London (GBR),2018-04-22,34,37,2018,8650.0
553,2:24:11,Adriana FERNÁNDEZ MIRANDA,1971-04-04,MEX,2,Berlin (GER),2002-09-29,31,49,2002,8651.0
554,2:24:11,Yingjie SUN,1979-01-19,CHN,1,Beijing (CHN),2004-10-17,25,41,2004,8651.0
555,2:24:11,Joyce CHEPKIRUI,1988-08-20,KEN,1,Amsterdam (NED),2015-10-18,27,32,2015,8651.0
556,2:24:11,Senbere TEFERI,1995-05-03,ETH,9,Dubai (UAE),2018-01-26,22,25,2018,8651.0
557,2:24:11,Sinead DIVER,1977-02-17,AUS,7,London (GBR),2019-04-28,42,43,2019,8651.0
558,2:24:12,Joyce CHEPCHUMBA,1970-11-06,KEN,3,London (GBR),2001-04-22,30,50,2001,8652.0
559,2:24:12,Chunxiu ZHOU,1978-11-15,CHN,5,"Olympic Stadium, Helsinki (FIN)",2005-08-14,26,42,2005,8652.0
560,2:24:12,Tirfi TSEGAYE,1984-11-25,ETH,2,Shanghai (CHN),2011-12-04,27,36,2011,8652.0
561,2:24:12,Netsanet ACHAMO,1987-12-14,ETH,1,Hamburg (GER),2012-04-29,24,33,2012,8652.0
562,2:24:13,Salina Jebet KOSGEI,1976-11-16,KEN,4,London (GBR),2007-04-22,30,44,2007,8653.0
563,2:24:13,Amane GOBENA,1986-09-11,ETH,1,Seoul (KOR),2010-03-21,23,34,2010,8653.0
564,2:24:13,Firehiwot Tesfaye DADO,1984-01-09,ETH,1,Roma (ITA),2011-03-20,27,36,2011,8653.0
565,2:24:13,Eunice Jepkirui KIRWA,1984-05-20,BRN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,32,36,2016,8653.0
566,2:24:13,Sarah CHEPCHIRCHIR,1984-07-27,KEN,1,Lisboa (POR),2016-10-02,32,36,2016,8653.0
567,2:24:13,Ruth CHEBITOK,1990-12-26,KEN,6,Toronto (CAN),2019-10-20,28,29,2019,8653.0
568,2:24:14,Mizuki NOGUCHI,1978-07-03,JPN,2,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,25,42,2003,8654.0
569,2:24:14,Irina MIKITENKO,1972-08-23,GER,1,London (GBR),2008-04-13,35,48,2008,8654.0
570,2:24:14,Irina TIMOFEYEVA,1970-04-05,RUS,1,Hamburg (GER),2008-04-27,38,50,2008,8654.0
571,2:24:14,Yoshimi OZAKI,1981-07-01,JPN,2,Nagoya (JPN),2012-03-11,30,39,2012,8654.0
572,2:24:14,Rose CHELIMO,1989-07-12,BRN,1,Seoul (KOR),2016-03-20,26,31,2016,8654.0
573,2:24:14,Josephine CHEPKOECH,1989-04-21,KEN,4,Sevilla (ESP),2020-02-23,30,31,2020,8654.0
574,2:24:15,Lidia ŞIMON,1973-09-04,ROU,4,London (GBR),2001-04-22,27,47,2001,8655.0
575,2:24:15,Florence KIPLAGAT,1987-02-27,KEN,5,London (GBR),2015-04-26,28,33,2015,8655.0
576,2:24:15,Tigist ABAYECHEW,1994-02-22,ETH,2,Istanbul (TUR),2019-11-03,25,26,2019,8655.0
577,2:24:16,Lucy Kabuu WANGUI,1984-03-24,KEN,3,Tokyo (JPN),2014-02-23,29,36,2014,8656.0
578,2:24:16,Sharon Jemutai CHEROP,1984-03-16,KEN,2,Toronto (CAN),2015-10-18,31,36,2015,8656.0
579,2:24:16,Fatuma SADO,1991-10-11,ETH,3,Toronto (CAN),2015-10-18,24,29,2015,8656.0
580,2:24:16,Maureen CHEPKEMOI,1998-05-24,KEN,3,Istanbul (TUR),2019-11-03,21,22,2019,8656.0
581,2:24:16,Prisca JEPTOO,1984-06-24,KEN,10,Valencia (ESP),2019-12-01,35,36,2019,8656.0
582,2:24:17,Margaret AGAI,1988-06-10,KEN,3,Shanghai (CHN),2012-12-02,24,32,2012,8657.0
583,2:24:17,Lonah Chemtai SALPETER,1988-12-12,ISR,1,Firenze (ITA),2018-11-25,29,32,2018,8657.0
584,2:24:18,Teyba ERKESSO,1982-10-30,ETH,1f1,"Houston, TX (USA)",2009-01-18,26,38,2009,8658.0
585,2:24:18,Mamitu DASKA,1983-10-16,ETH,1,Dubai (UAE),2010-01-22,26,37,2010,8658.0
586,2:24:18,Meskerem ASSEFA,1991-10-03,ETH,1,Rotterdam (NED),2017-04-09,25,29,2017,8658.0
587,2:24:18,Nancy Jepkosgei KIPROP,1979-07-07,KEN,1,Wien (AUT),2018-04-22,38,41,2018,8658.0
588,2:24:19,Yumiko HARA,1982-01-09,JPN,1,Nagoya (JPN),2005-03-13,23,38,2005,8659.0
589,2:24:19,Xiaolin ZHU,1984-02-20,CHN,3,Chongqing (CHN),2012-03-18,28,36,2012,8659.0
590,2:24:19,Bornes CHEPKIRUI,1986-11-23,KEN,1,Praha (CZE),2018-05-06,31,34,2018,8659.0
591,2:24:19,Miyuki UEHARA,1995-11-22,JPN,9,Nagoya (JPN),2019-03-10,23,25,2019,8659.0
592,2:24:20,Yumiko HARA,1982-01-09,JPN,6,"Olympic Stadium, Helsinki (FIN)",2005-08-14,23,38,2005,8660.0
593,2:24:20,Philes ONGORI,1986-07-19,KEN,1,Rotterdam (NED),2011-04-10,24,34,2011,8660.0
594,2:24:20,Nancy Jepkosgei KIPROP,1979-07-07,KEN,1,Wien (AUT),2017-04-23,37,41,2017,8660.0
595,2:24:21,Filomena CHEPCHIRCHIR,1981-12-01,KEN,3,Frankfurt (GER),2011-10-30,29,39,2011,8661.0
596,2:24:21,Kayoko FUKUSHI,1982-03-25,JPN,1,Osaka (JPN),2013-01-27,30,38,2013,8661.0
597,2:24:21,Marta MEGRA,1990-12-30,ETH,1,Hengshui (CHN),2019-09-29,28,29,2019,8661.0
598,2:24:22,Xiujuan REN,1974-09-14,CHN,3,Beijing (CHN),2001-10-14,27,46,2001,8662.0
599,2:24:22,Rita Jeptoo SITIENEI,1981-02-15,KEN,7,"Olympic Stadium, Helsinki (FIN)",2005-08-14,24,39,2005,8662.0
600,2:24:22,Christelle DAUNAY,1974-12-05,FRA,2,Paris (FRA),2010-04-11,35,46,2010,8662.0
601,2:24:22,Risa SHIGETOMO,1987-08-29,JPN,1,Osaka (JPN),2017-01-29,29,33,2017,8662.0
602,2:24:23,Jemima Jelagat SUMGONG,1984-12-21,KEN,6,London (GBR),2015-04-26,30,35,2015,8663.0
603,2:24:23,Alemu MEGERTU,1997-01-01,ETH,5,London (GBR),2020-10-04,23,23,2020,8663.0
604,2:24:24,Liliya SHOBUKHOVA,1977-11-13,RUS,3,London (GBR),2009-04-26,31,43,2009,8664.0
605,2:24:24,Irina MIKITENKO,1972-08-23,GER,6,London (GBR),2011-04-17,38,48,2011,8664.0
606,2:24:24,Mamitu DASKA,1983-10-16,ETH,9,Dubai (UAE),2012-01-27,28,37,2012,8664.0
607,2:24:24,Birhane DIBABA,1993-09-11,ETH,3,"Chicago, IL (USA)",2015-10-11,22,27,2015,8664.0
608,2:24:24,Mulu SEBOKA,1984-09-25,ETH,5,Dubai (UAE),2016-01-22,31,36,2016,8664.0
609,2:24:25,Megumi TANAKA-OSHIMA,1975-09-04,JPN,2,Nagoya (JPN),2005-03-13,29,45,2005,8665.0
610,2:24:25,Constantina DITA-TOMESCU,1970-01-23,ROU,5,"Chicago, IL (USA)",2006-10-22,36,50,2006,8665.0
611,2:24:25,Atsede HABTAMU,1987-10-26,ETH,4,Berlin (GER),2011-09-25,23,33,2011,8665.0
612,2:24:25,Jessica AUGUSTO,1981-11-08,POR,6,London (GBR),2014-04-13,32,39,2014,8665.0
613,2:24:25,Kayoko FUKUSHI,1982-03-25,JPN,4,"Chicago, IL (USA)",2015-10-11,33,38,2015,8665.0
614,2:24:25,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,"New York, NY (USA)",2015-11-01,33,38,2015,8665.0
615,2:24:25,Rebeca CHESIRE,1992-01-01,KEN,2,Wien (AUT),2017-04-23,25,28,2017,8665.0
616,2:24:26,Ingrid KRISTIANSEN,1956-03-21,NOR,1,London (GBR),1984-05-13,28,64,1984,8666.0
617,2:24:26,Aberu KEBEDE,1986-09-12,ETH,2,Dubai (UAE),2010-01-22,23,34,2010,8666.0
618,2:24:26,Atsede HABTAMU,1987-10-26,ETH,4,Dubai (UAE),2011-01-21,23,33,2011,8666.0
619,2:24:26,Bizunesh DEBA,1987-09-08,ETH,2,"Houston, TX (USA)",2013-01-13,25,33,2013,8666.0
620,2:24:26,Tiki GELANA,1987-10-22,ETH,3,Tokyo (JPN),2015-02-22,27,33,2015,8666.0
621,2:24:26,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,"New York, NY (USA)",2016-11-06,34,38,2016,8666.0
622,2:24:27,Yuri KANO,1978-10-27,JPN,2,Tokyo (JPN),2008-11-16,30,42,2008,8667.0
623,2:24:27,Hilde KIBET,1981-03-27,NED,2,Rotterdam (NED),2011-04-10,30,39,2011,8667.0
624,2:24:27,Agnes Jeruto KIPROTICH,1982-02-05,KEN,5,Frankfurt (GER),2012-10-28,30,38,2012,8667.0
625,2:24:27,Abebech AFEWORK,1990-12-11,ETH,2,Amsterdam (NED),2016-10-16,25,30,2016,8667.0
626,2:24:27,Eunice Chebichii CHUMBA,1993-05-23,BRN,2,Rotterdam (NED),2017-04-09,23,27,2017,8667.0
627,2:24:27,Mary Jepkosgei KEITANY,1982-01-18,KEN,5,London (GBR),2018-04-22,36,38,2018,8667.0
628,2:24:27,Fancy CHEMUTAI,1995-03-20,KEN,10,Valencia (ESP),2020-12-06,25,25,2020,8667.0
629,2:24:28,Remi NAKASATO,1988-06-24,JPN,3,Nagoya (JPN),2012-03-11,23,32,2012,8668.0
630,2:24:28,Melkam GIZAW,1990-09-17,ETH,2,Seoul (KOR),2016-03-20,25,30,2016,8668.0
631,2:24:28,Gutemi Shone IMANA,1991-11-17,ETH,1,Sevilla (ESP),2019-02-17,27,29,2019,8668.0
632,2:24:28,Shuko GENEMO,1995-09-13,ETH,7,Toronto (CAN),2019-10-20,24,25,2019,8668.0
633,2:24:28,Yeshi Kalayu CHEKOLE,1997-07-12,ETH,3,Abu Dhabi (UAE),2019-12-06,22,23,2019,8668.0
634,2:24:29,Elfinesh ALEMU,1975-03-15,ETH,5,London (GBR),2001-04-22,26,45,2001,8669.0
635,2:24:29,Remi NAKASATO,1988-06-24,JPN,2,Yokohama (JPN),2011-02-20,22,32,2011,8669.0
636,2:24:29,Bethelhem MOGES,1991-05-03,ETH,10,Dubai (UAE),2015-01-23,23,29,2015,8669.0
637,2:24:29,Kellyn TAYLOR,1986-07-22,USA,1,"Duluth, MN (USA)",2018-06-16,31,34,2018,8669.0
638,2:24:30,Aheza KIROS,1985-10-16,ETH,4,Dubai (UAE),2013-01-25,27,35,2013,8670.0
639,2:24:30,Mare DIBABA,1989-10-20,ETH,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,26,31,2016,8670.0
640,2:24:30,Yebrgual MELESE,1990-04-18,ETH,2,Frankfurt (GER),2017-10-29,27,30,2017,8670.0
641,2:24:30,Margaret AGAI,1988-06-10,KEN,2,Seoul (KOR),2018-03-18,29,32,2018,8670.0
642,2:24:30,Aberu Mekuria ZENNEBE,1983-12-24,ETH,1,Chongqing (CHN),2019-03-31,35,36,2019,8670.0
643,2:24:30,Purity CHANGWONY,1990-01-01,KEN,5,Sevilla (ESP),2020-02-23,30,30,2020,8670.0
644,2:24:30,Hiwot GEBREKIDAN,1995-05-11,ETH,2,Istanbul (TUR),2020-11-08,25,25,2020,8670.0
645,2:24:31,Tigist TUFA,1987-01-26,ETH,1,Ottawa (CAN),2014-05-25,27,33,2014,8671.0
646,2:24:31,Shuko GENEMO,1995-09-13,ETH,1,Wien (AUT),2016-04-10,20,25,2016,8671.0
647,2:24:31,Monica JEPKOECH,1983-01-01,KEN,3,Seoul (KOR),2018-03-18,35,37,2018,8671.0
648,2:24:32,Yunxia QU,1972-12-25,CHN,2,Tianjin (CHN),1993-04-04,20,47,1993,8672.0
649,2:24:32,Salina Jebet KOSGEI,1976-11-16,KEN,1,Paris (FRA),2004-04-04,27,44,2004,8672.0
650,2:24:32,Merima MOHAMMED,1992-06-10,ETH,4,Frankfurt (GER),2011-10-30,19,28,2011,8672.0
651,2:24:32,Marta MEGRA,1990-12-30,ETH,2,Xiamen (CHN),2016-01-02,25,29,2016,8672.0
652,2:24:32,Mao KIYOTA,1993-09-12,JPN,4,Nagoya (JPN),2016-03-13,22,27,2016,8672.0
653,2:24:33,Tegla LOROUPE,1973-05-09,KEN,1,London (GBR),2000-04-16,26,47,2000,8673.0
654,2:24:33,Rie MATSUOKA,1977-03-09,JPN,2,Paris (FRA),2002-04-07,25,43,2002,8673.0
655,2:24:33,Nuţa OLARU,1970-08-28,ROU,2,"Chicago, IL (USA)",2004-10-10,34,50,2004,8673.0
656,2:24:33,Tomo MORIMOTO,1983-12-27,JPN,1,Wien (AUT),2006-05-07,22,36,2006,8673.0
657,2:24:33,Koren Jelila YAL,1987-01-18,ETH,4,Toronto (CAN),2010-09-26,23,33,2010,8673.0
658,2:24:33,Jessica AUGUSTO,1981-11-08,POR,7,London (GBR),2011-04-17,29,39,2011,8673.0
659,2:24:33,Georgina RONO,1980-05-19,KEN,1,Eindhoven (NED),2011-10-09,31,40,2011,8673.0
660,2:24:33,Valentine KIPKETER,1993-01-05,KEN,1,Mumbai (IND),2013-01-20,20,27,2013,8673.0
661,2:24:33,Meseret Hailu DEBELE,1990-09-12,ETH,3,Berlin (GER),2015-09-27,25,30,2015,8673.0
662,2:24:33,Mao ICHIYAMA,1997-05-29,JPN,7,Tokyo (JPN),2019-03-03,21,23,2019,8673.0
663,2:24:33,Stella BARSOSIO,1993-03-12,KEN,1,Sydney (AUS),2019-09-15,26,27,2019,8673.0
664,2:24:34,Harumi HIROYAMA-SUZUKI,1968-09-02,JPN,2,Osaka (JPN),2002-01-27,33,52,2002,8674.0
665,2:24:34,Aberu KEBEDE,1986-09-12,ETH,8,London (GBR),2011-04-17,24,34,2011,8674.0
666,2:24:34,Philomena CHEYECH,1982-07-05,KEN,1,Wien (AUT),2013-04-14,30,38,2013,8674.0
667,2:24:34,Genet YALEW,1992-12-31,ETH,3,Praha (CZE),2019-05-05,26,27,2019,8674.0
668,2:24:35,Katrin DÖRRE-HEINIG,1961-10-06,GER,1,Hamburg (GER),1999-04-25,37,59,1999,8675.0
669,2:24:35,Robe GUTA,1986-10-12,ETH,1,Hamburg (GER),2006-04-23,19,34,2006,8675.0
670,2:24:35,Caroline ROTICH,1984-05-13,KEN,4,Tokyo (JPN),2014-02-23,29,36,2014,8675.0
671,2:24:35,Betsy SAINA,1988-06-30,KEN,8,Frankfurt (GER),2018-10-28,30,32,2018,8675.0
672,2:24:35,Aberu Mekuria ZENNEBE,1983-12-24,ETH,4,Valencia (ESP),2018-12-02,34,36,2018,8675.0
673,2:24:36,Reiko TOSA,1976-06-11,JPN,2,Nagoya (JPN),2000-03-12,23,44,2000,8676.0
674,2:24:38,Kayoko FUKUSHI,1982-03-25,JPN,2,"Chicago, IL (USA)",2011-10-09,29,38,2011,8678.0
675,2:24:38,Philomena CHEYECH,1982-07-05,KEN,2,Amsterdam (NED),2015-10-18,33,38,2015,8678.0
676,2:24:38,Sardana TROFIMOVA,1988-03-28,RUS,4,Frankfurt (GER),2015-10-25,27,32,2015,8678.0
677,2:24:38,Reia IWADE,1994-12-08,JPN,5,Nagoya (JPN),2016-03-13,21,26,2016,8678.0
678,2:24:38,Meskerem ASSEFA,1991-10-03,ETH,3,Frankfurt (GER),2017-10-29,26,29,2017,8678.0
679,2:24:38,Jackline CHEPNGENO,1993-01-16,KEN,6,Amsterdam (NED),2018-10-21,25,27,2018,8678.0
