Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age
528,2:06:53,Emmanuel MUTAI,1984-10-12,KEN,4,London (GBR),2009-04-26,24,36
529,2:06:53,Elijah KEITANY,1983-10-18,KEN,5,Amsterdam (NED),2011-10-16,27,37
530,2:06:53,Samuel Kiplimo KOSGEI,1986-01-20,KEN,7,Dubai (UAE),2016-01-22,30,34
531,2:06:54,Ondoro OSORO,1967-12-03,KEN,1,"Chicago, IL (USA)",1998-10-11,30,53
532,2:06:54,Abel KIRUI,1982-06-04,KEN,1,"Olympiastadion, Berlin (GER)",2009-08-22,27,38
533,2:06:54,Paul Kipkemboi BIWOTT,1978-04-18,KEN,6,Amsterdam (NED),2011-10-16,33,42
534,2:06:54,Yemane TSEGAY,1985-04-08,ETH,1,Ottawa (CAN),2014-05-25,29,35
535,2:06:54,Tilahun REGASSA,1990-01-18,ETH,2,Xiamen (CHN),2015-01-03,24,30
536,2:06:54,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,1,Gongju (KOR),2017-10-15,28,32
537,2:06:54,Hiroto INOUE,1993-01-06,JPN,5,Tokyo (JPN),2018-02-25,25,27
538,2:06:54,Deme Tadu ABATE,1997-09-11,ETH,2,Hamburg (GER),2018-04-29,20,23
539,2:06:54,Anthony MARITIM,1986-11-12,KEN,3,Barcelona (ESP),2019-03-10,32,34
540,2:06:54,Daisuke UEKADO,1993-12-11,JPN,9,Tokyo (JPN),2020-03-01,26,26
541,2:06:55,Hendrick RAMAALA,1972-02-02,RSA,3,London (GBR),2006-04-23,34,48
542,2:06:55,Jaouad GHARIB,1972-05-22,MAR,3,London (GBR),2010-04-25,37,48
543,2:06:55,Tadesse TOLA,1987-10-31,ETH,1,Warszawa (POL),2014-04-13,26,33
544,2:06:56,Mergersa BACHA,1985-01-18,ETH,4,Paris (FRA),2013-04-07,28,35
545,2:06:56,Micah Kemboi KOGO,1986-06-30,KEN,4,"Chicago, IL (USA)",2013-10-13,27,34
546,2:06:56,Feyisa LILESA,1990-02-01,ETH,1,Tokyo (JPN),2016-02-28,26,30
547,2:06:56,Sisay LEMMA,1990-12-12,ETH,4,Berlin (GER),2016-09-25,25,29
548,2:06:56,Kelkile GEZAHEGN,1996-10-01,ETH,2,Frankfurt (GER),2017-10-29,21,24
549,2:06:56,Vincent KIPCHUMBA,1990-08-03,KEN,1,Wien (AUT),2019-04-07,28,30
550,2:06:56,Fred MUSOBO,1996-08-12,UGA,3,Daegu (KOR),2019-04-07,22,24
551,2:06:57,Takayuki INUBUSHI,1972-08-11,JPN,2,Berlin (GER),1999-09-26,27,48
552,2:06:57,Tesfaye TOLA,1974-10-19,ETH,4,Amsterdam (NED),1999-10-17,24,46
553,2:06:57,Philip Sanga KIMUTAI,1983-09-10,KEN,5,Paris (FRA),2013-04-07,29,37
554,2:06:57,Ayele ABSHERO,1990-12-28,ETH,3,London (GBR),2013-04-21,22,29
555,2:06:57,Feyisa LILESA,1990-02-01,ETH,3,Berlin (GER),2015-09-27,25,30
556,2:06:57,Stephen CHEBOGUT,1985-01-09,KEN,2,Paris (FRA),2017-04-09,32,35
557,2:06:57,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2018-03-18,29,32
558,2:06:57,Tamirat TOLA,1991-08-11,ETH,6,London (GBR),2019-04-28,27,29
559,2:06:58,Daniel Kipkurgat RONO,1978-07-13,KEN,2,Rotterdam (NED),2008-04-13,29,42
560,2:06:58,Henry Kemo SUGUT,1985-05-04,KEN,1,Wien (AUT),2012-04-15,26,35
561,2:06:58,Joseph GITAU,1988-01-03,KEN,1,Fukuoka (JPN),2012-12-02,24,32
562,2:06:58,Michael KIPYEGO,1983-10-02,KEN,2,Tokyo (JPN),2013-02-24,29,37
563,2:06:58,Michael KIPYEGO,1983-10-02,KEN,4,Tokyo (JPN),2014-02-23,30,37
564,2:06:58,Tesfaye ABERA,1992-03-31,ETH,1,Hamburg (GER),2016-04-17,24,28
565,2:06:58,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,1,Gongju (KOR),2016-10-16,27,32
566,2:06:59,Gilbert Kipruto KIRWA,1985-12-20,KEN,2,Seoul (KOR),2010-03-21,24,34
567,2:06:59,Franklin CHEPKWONY,1984-06-15,KEN,1,Seoul (KOR),2013-03-17,28,36
568,2:06:59,Kaan Kigen ÖZBILEN,1986-01-15,KEN,2,Frankfurt (GER),2014-10-26,28,34
569,2:06:59,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,2,Seoul (KOR),2015-03-15,26,32
570,2:06:59,Kennedy CHEBOROR,1990-04-26,KEN,4,Daegu (KOR),2019-04-07,28,30
571,2:06:59,Silas MWETICH,1997-05-24,KEN,5,Toronto (CAN),2019-10-20,22,23
572,2:07:00,Eric NDIEMA,1992-12-28,KEN,2,Hamburg (GER),2014-05-04,21,27
573,2:07:00,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,4,Paris (FRA),2018-04-08,25,27
574,2:07:00,Reuben KERIO,1994-06-02,KEN,2,Eindhoven (NED),2019-10-13,25,26
575,2:07:00,Robert KWAMBAI,1985-11-22,KEN,1,Chuncheon (KOR),2019-10-27,33,35
576,2:07:01,Khalid KHANNOUCHI,1971-12-22,USA,1,"Chicago, IL (USA)",2000-10-22,28,48
577,2:07:01,Geoffrey MUTAI,1981-10-07,KEN,1,Eindhoven (NED),2009-10-11,28,39
578,2:07:01,Bernard Kiprop KIPYEGO,1986-07-16,KEN,5,Rotterdam (NED),2010-04-11,23,34
579,2:07:01,Dadi Yami GEMEDA,1982-01-01,ETH,2,Hamburg (GER),2012-04-29,30,38
580,2:07:01,Lawrence KIMAYO,1990-09-02,KEN,1,Košice (SVK),2012-10-07,22,30
581,2:07:01,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Gongju (KOR),2015-10-11,26,32
582,2:07:01,Laban Kipngetich KORIR,1985-06-30,KEN,6,Amsterdam (NED),2017-10-15,32,35
583,2:07:02,Sammy LELEI,1964-08-14,KEN,1,Berlin (GER),1995-09-24,31,56
584,2:07:02,Driss EL HIMER,1974-04-04,FRA,1,Amsterdam (NED),2001-10-21,27,46
585,2:07:02,Jaouad GHARIB,1972-05-22,MAR,3,London (GBR),2004-04-18,31,48
586,2:07:02,Felix LIMO,1980-08-22,KEN,1,"Chicago, IL (USA)",2005-10-09,25,40
587,2:07:02,Paul Kipkemboi BIWOTT,1978-04-18,KEN,3,Amsterdam (NED),2009-10-18,31,42
588,2:07:02,Tariku JUFAR,1984-07-18,ETH,4,Seoul (KOR),2014-03-16,29,36
589,2:07:03,Stanley Kipleting BIWOTT,1986-04-21,KEN,1,Chuncheon (KOR),2011-10-23,25,34
590,2:07:03,Mark KORIR,1985-01-10,KEN,2,Seoul (KOR),2018-03-18,33,35
591,2:07:03,Sisay LEMMA,1990-12-12,ETH,2,Praha (CZE),2018-05-06,27,29
592,2:07:03,Bashir ABDI,1989-02-10,BEL,7,London (GBR),2019-04-28,30,31
593,2:07:03,Hamid BEN DAOUD,1996-02-19,ESP,14,Valencia (ESP),2020-12-06,24,24
594,2:07:04,Khalid KHANNOUCHI,1971-12-22,USA,4,London (GBR),2006-04-23,34,48
595,2:07:04,Francis KIPROP,1984-12-25,KEN,2,Berlin (GER),2009-09-20,24,35
596,2:07:04,Elias KEMBOI,1984-03-10,KEN,3,Frankfurt (GER),2010-10-31,26,36
597,2:07:04,Bekana DABA,1988-07-29,ETH,1,"Houston, TX (USA)",2011-01-30,22,32
598,2:07:04,Samuel NDUNGU,1988-04-04,KEN,1,Otsu (JPN),2012-03-04,23,32
599,2:07:05,Joshua CHELANGA,1973-04-07,KEN,3,Berlin (GER),2004-09-26,31,47
600,2:07:05,William KIPLAGAT,1972-06-21,KEN,3,Frankfurt (GER),2009-10-25,37,48
601,2:07:05,Deressa CHIMSA,1976-11-21,ETH,1,Toronto (CAN),2013-10-20,36,44
602,2:07:05,Peter Kimeli SOME,1990-06-05,KEN,5,Tokyo (JPN),2014-02-23,23,30
603,2:07:05,Abrha MILAW ASEFA,1988-02-27,ETH,1,Paris (FRA),2019-04-14,31,32
604,2:07:05,Toshiki SADAKATA,1992-03-04,JPN,10,Tokyo (JPN),2020-03-01,27,28
605,2:07:05,Yuya YOSHIDA,1997-04-23,JPN,1,Fukuoka (JPN),2020-12-06,23,23
606,2:07:06,Josphat KIPRONO,1973-12-12,KEN,2,Amsterdam (NED),2001-10-21,27,46
607,2:07:06,Ian SYSTER,1976-01-20,RSA,5,London (GBR),2002-04-14,26,44
608,2:07:06,Gert THYS,1971-11-12,RSA,1,Seoul (KOR),2004-03-14,32,49
609,2:07:06,Charles Kiama MUNYEKI,1988-11-02,KEN,4,"Chicago, IL (USA)",2009-10-11,20,32
610,2:07:06,Gebretsadik ABRAHA,1992-07-16,ETH,2,Daegu (KOR),2014-04-06,21,28
611,2:07:06,Sisay LEMMA,1990-12-12,ETH,5,Dubai (UAE),2015-01-23,24,29
612,2:07:06,Mathew Kipkoech KISORIO,1989-05-16,KEN,1,Beijing (CHN),2019-11-03,30,31
613,2:07:07,Ahmed SALAH,1956-12-31,DJI,2,Rotterdam (NED),1988-04-17,31,63
614,2:07:07,Paul KOECH,1969-06-25,KEN,2,"Chicago, IL (USA)",2003-10-12,34,51
615,2:07:07,Benson Kipchumba BARUS,1980-07-04,KEN,1,Praha (CZE),2011-05-08,30,40
616,2:07:07,Philemon RONO,1991-02-08,KEN,3,Hamburg (GER),2014-05-04,23,29
617,2:07:07,Samuel Kiplimo KOSGEI,1986-01-20,KEN,1,Košice (SVK),2015-10-04,29,34
618,2:07:07,Felix Kipchirchir KANDIE,1987-04-10,KEN,3,Valencia (ESP),2015-11-15,28,33
619,2:07:07,Abel KIRUI,1982-06-04,KEN,4,London (GBR),2018-04-22,35,38
620,2:07:08,John KIPROTICH,1989-03-30,KEN,7,Amsterdam (NED),2011-10-16,22,31
621,2:07:08,Mark KORIR,1985-01-10,KEN,2,Seoul (KOR),2013-11-03,28,35
622,2:07:08,Abraham CHERKOS,1989-09-23,ETH,5,Seoul (KOR),2014-03-16,24,31
623,2:07:08,Gilbert YEGON,1988-08-06,KEN,3,Frankfurt (GER),2014-10-26,26,32
625,2:07:09,Japheth KOSGEI,1968-12-20,KEN,1,Rotterdam (NED),1999-04-18,30,51
626,2:07:09,Benjamin MAIYO,1978-10-06,KEN,2,"Chicago, IL (USA)",2005-10-09,27,42
627,2:07:09,Bazu WORKU HAYLA,1990-09-15,ETH,6,Dubai (UAE),2015-01-23,24,30
628,2:07:09,Alex KIBET,1990-11-10,KEN,3,Frankfurt (GER),2018-10-28,27,30
629,2:07:09,Robert KIPKEMBOI,1988-06-19,KEN,5,Seoul (KOR),2019-03-17,30,32
630,2:07:09,Evans KORIR,1987-07-10,KEN,5,Daegu (KOR),2019-04-07,31,33
631,2:07:09,Zelalem BACHA,1988-01-10,BRN,12,Dubai (UAE),2020-01-24,32,32
632,2:07:09,Abdi NAGEEYE,1989-03-02,NED,15,Valencia (ESP),2020-12-06,31,31
633,2:07:10,Khalid KHANNOUCHI,1971-12-22,MAR,1,"Chicago, IL (USA)",1997-10-19,25,48
634,2:07:10,Belay Asefa BEDADA,1992-06-17,ETH,4,Hamburg (GER),2014-05-04,21,28
635,2:07:10,Tebalu ZAWUDE HEYI,1987-11-02,ETH,4,Frankfurt (GER),2014-10-26,26,33
636,2:07:10,Festus TALAM,1994-10-20,KEN,4,Rotterdam (NED),2017-04-09,22,26
637,2:07:10,Dejene DEBELA,1995-01-09,ETH,4,Eindhoven (NED),2017-10-08,22,25
638,2:07:10,Stephen KIPROTICH,1989-02-27,UGA,2,Fukuoka (JPN),2017-12-03,28,31
639,2:07:10,Vincent RONO,1990-12-11,KEN,5,Rotterdam (NED),2019-04-07,28,29
640,2:07:10,Dawit WOLDE,1991-05-19,ETH,2,Frankfurt (GER),2019-10-27,28,29
641,2:07:10,El Mahjoub DAZZA,1991-03-03,MAR,1,Fukuoka (JPN),2019-12-01,28,29
642,2:07:11,Abdelkader EL MOUAZIZ,1969-01-01,MAR,1,London (GBR),2001-04-22,32,51
643,2:07:11,Alfred KERING,1978-11-20,KEN,2,Paris (FRA),2010-04-11,31,42
644,2:07:11,Yemane TSEGAY,1985-04-08,ETH,2,Praha (CZE),2010-05-09,25,35
645,2:07:11,Philip Sanga KIMUTAI,1983-09-10,KEN,4,Frankfurt (GER),2010-10-31,27,37
646,2:07:11,Mulugeta WAMI,1982-07-17,ETH,6,Amsterdam (NED),2012-10-21,30,38
647,2:07:11,Alfers LAGAT,1986-08-07,KEN,3,Eindhoven (NED),2014-10-12,28,34
648,2:07:11,Nixson KURGAT,1988-05-02,KEN,1,Chuncheon (KOR),2014-10-26,26,32
649,2:07:11,CyBrian KOTUT,1992-06-06,KEN,1,Paris (FRA),2016-04-03,23,28
650,2:07:11,Benson KIPRUTO,1991-03-17,KEN,3,Seoul (KOR),2018-03-18,27,29
651,2:07:11,John LANGAT,1993-10-02,KEN,3,Eindhoven (NED),2019-10-13,26,27
652,2:07:12,Carlos LOPES,1947-02-18,POR,1,Rotterdam (NED),1985-04-20,38,73
653,2:07:12,Paul Kiprop KIRUI,1980-02-05,KEN,3,Amsterdam (NED),2007-10-21,27,40
654,2:07:12,James ROTICH,1978-12-22,KEN,4,Amsterdam (NED),2007-10-21,28,41
655,2:07:12,Shumi DECHASA,1989-05-28,ETH,2,Seoul (KOR),2013-03-17,23,31
656,2:07:12,Azmero Bekele MOLALIGN,1986-01-22,ETH,5,Dubai (UAE),2014-01-24,28,34
657,2:07:12,Solomon Kirwa YEGO,1987-05-10,KEN,3,Paris (FRA),2017-04-09,29,33
658,2:07:12,Philemon KACHERAN,1992-07-04,KEN,4,Barcelona (ESP),2019-03-10,26,28
659,2:07:12,Aweke AYALEW,1993-02-23,BRN,3,Frankfurt (GER),2019-10-27,26,27
660,2:07:13,Steve JONES,1955-08-04,GBR,1,"Chicago, IL (USA)",1985-10-20,30,65
661,2:07:13,Atsushi SATO,1978-05-08,JPN,3,Fukuoka (JPN),2007-12-02,29,42
662,2:07:13,Wilson Kipsang KIPROTICH,1982-03-15,KEN,3,Paris (FRA),2010-04-11,28,38
663,2:07:13,Tadesse TOLA,1987-10-31,ETH,4,Eindhoven (NED),2011-10-09,23,33
664,2:07:13,John Kipkorir KOMEN,1977-08-28,KEN,1,La Rochelle (FRA),2011-11-27,34,43
665,2:07:13,Shumi DECHASA,1989-05-28,BRN,6,Dubai (UAE),2014-01-24,24,31
666,2:07:13,Edwin KOECH,1992-03-25,KEN,1,Milano (ITA),2017-04-02,25,28
667,2:07:14,Daniel NJENGA,1976-05-07,KEN,3,"Chicago, IL (USA)",2005-10-09,29,44
668,2:07:14,Tsegaye KEBEDE,1987-01-15,ETH,3,"New York, NY (USA)",2011-11-06,24,33
669,2:07:14,Felix KENY,1985-12-25,KEN,1,Valencia (ESP),2013-11-17,27,34
670,2:07:14,Paul LONYANGATA,1992-12-12,KEN,1,Shanghai (CHN),2015-11-08,22,27
671,2:07:15,Japheth KOSGEI,1968-12-20,KEN,1,Tokyo (JPN),2000-02-13,31,51
672,2:07:15,Dmytri BARANOVSKIY,1979-07-28,UKR,2,Fukuoka (JPN),2006-12-03,27,41
673,2:07:15,Silas CHEPROT,1992-01-01,KEN,1,Gongju (KOR),2014-10-19,22,28
674,2:07:15,Leul GEBRESILASE,1992-09-20,ETH,8,London (GBR),2019-04-28,26,28
675,2:07:16,Isaac Wanjohi MACHARIA,1978-11-25,KEN,2,Dubai (UAE),2008-01-18,29,42
676,2:07:16,Jaouad GHARIB,1972-05-22,MAR,2,"National Stadium, Beijing (CHN)",2008-08-24,36,48
677,2:07:16,Bernard Kiprop KIPYEGO,1986-07-16,KEN,2,Paris (FRA),2011-04-10,24,34
678,2:07:16,Tadesse TOLA,1987-10-31,ETH,1,Beijing (CHN),2013-10-20,25,33
679,2:07:16,Martin Irungu MATHATHI,1985-12-25,KEN,1,Fukuoka (JPN),2013-12-01,27,34
680,2:07:16,Deribe ROBI,1990-09-26,ETH,5,Frankfurt (GER),2014-10-26,24,30
681,2:07:16,Tilahun REGASSA,1990-01-18,ETH,5,London (GBR),2015-04-26,25,30
682,2:07:16,Abayneh AYELE,1987-11-04,ETH,4,Eindhoven (NED),2015-10-11,27,33
683,2:07:16,Jacob Kibet Chulyo KENDAGOR,1984-08-24,KEN,2,Marrakesh (MAR),2020-01-26,35,36
684,2:07:17,Benjamin KIPTOO,1979-01-10,KEN,1,Roma (ITA),2009-03-22,30,41
685,2:07:17,Stephen TUM,1986-07-12,KEN,2,Praha (CZE),2012-05-13,25,34
686,2:07:17,Lucas Kimeli ROTICH,1990-04-16,KEN,1,Hamburg (GER),2015-04-26,25,30
687,2:07:18,Kenneth CHERUIYOT,1974-02-08,KEN,2,Rotterdam (NED),2001-04-22,27,46
688,2:07:18,David Barmasai TUMO,1987-01-01,KEN,1,Dubai (UAE),2011-01-21,24,33
689,2:07:18,Nixson KURGAT,1988-05-02,KEN,3,Daegu (KOR),2014-04-06,25,32
690,2:07:18,Lucas Kimeli ROTICH,1990-04-16,KEN,2,Amsterdam (NED),2014-10-19,24,30
691,2:07:18,Ezekiel CHEBII,1991-01-03,KEN,2,Amsterdam (NED),2015-10-18,24,29
692,2:07:18,Amanal PETROS,1995-05-17,GER,16,Valencia (ESP),2020-12-06,25,25
693,2:07:19,Khalid KHANNOUCHI,1971-12-22,MAR,2,"Chicago, IL (USA)",1998-10-11,26,48
694,2:07:19,Jaouad GHARIB,1972-05-22,MAR,3,Fukuoka (JPN),2006-12-03,34,48
695,2:07:19,Mubarak Hassan SHAMI,1980-12-02,QAT,1,Paris (FRA),2007-04-15,26,40
696,2:07:19,Bernard Kiprop KIPYEGO,1986-07-16,KEN,2,Beijing (CHN),2013-10-20,27,34
697,2:07:19,Mule WASIHUN,1993-10-20,ETH,9,Amsterdam (NED),2016-10-16,22,27
698,2:07:19,Lucas Kimeli ROTICH,1990-04-16,KEN,5,Rotterdam (NED),2017-04-09,26,30
699,2:07:19,Suguru OSAKO,1991-05-23,JPN,3,Fukuoka (JPN),2017-12-03,26,29
700,2:07:19,Ayele ABSHERO,1990-12-28,ETH,3,Hamburg (GER),2018-04-29,27,29
701,2:07:19,Leul GEBRESILASE,1992-09-20,ETH,9,Valencia (ESP),2019-12-01,27,28
702,2:07:19,Eyob GHEBREHIWET FANIEL,1992-11-26,ITA,7,Sevilla (ESP),2020-02-23,27,28
703,2:07:20,Vincent ROUSSEAU,1962-07-29,BEL,2,Berlin (GER),1995-09-24,33,58
704,2:07:20,Bong-ju LEE,1970-10-11,KOR,2,Tokyo (JPN),2000-02-13,29,50
705,2:07:20,Stephen KIPROTICH,1989-02-27,UGA,1,Enschede (NED),2011-04-17,22,31
706,2:07:20,Daniel Kipkurgat RONO,1978-07-13,KEN,3,Beijing (CHN),2013-10-20,35,42
707,2:07:20,Shumi DECHASA,1989-05-28,BRN,4,Tokyo (JPN),2015-02-22,25,31
708,2:07:20,Lukas Lokobe KANDA,1983-01-01,KEN,2,Paris (FRA),2015-04-12,32,37
709,2:07:20,Philemon RONO,1991-02-08,KEN,2,Hamburg (GER),2016-04-17,25,29
710,2:07:20,Hillary KIPSAMBU,1985-02-04,KEN,9,Amsterdam (NED),2018-10-21,33,35
711,2:07:20,Josphat BOIT,1995-11-25,KEN,6,Rotterdam (NED),2019-04-07,23,25
712,2:07:20,Martin KIPRUGUT KOSGEY,1989-03-21,KEN,4,Frankfurt (GER),2019-10-27,30,31
713,2:07:20,Maru TEFERI,1992-08-17,ISR,8,Sevilla (ESP),2020-02-23,27,28
714,2:07:20,Shin KIMURA,1988-08-08,JPN,11,Tokyo (JPN),2020-03-01,31,32
715,2:07:21,Robert Kiprono CHERUIYOT,1988-08-10,KEN,1,Frankfurt (GER),2008-10-26,20,32
716,2:07:21,Mark Kosgei KIPTOO,1976-06-21,KEN,2,Rotterdam (NED),2015-04-12,38,44
717,2:07:21,Lukas Lokobe KANDA,1983-01-01,KEN,1,Chuncheon (KOR),2016-10-23,33,37
718,2:07:21,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,4,Paris (FRA),2017-04-09,24,27
719,2:07:21,Benson KIPRUTO,1991-03-17,KEN,2,Gongju (KOR),2017-10-15,26,29
720,2:07:22,Stefano BALDINI,1971-05-25,ITA,5,London (GBR),2006-04-23,34,49
721,2:07:22,Sammy KITWARA,1986-11-26,KEN,3,Rotterdam (NED),2013-04-14,26,34
722,2:07:22,Peter Kimeli SOME,1990-06-05,KEN,5,Tokyo (JPN),2015-02-22,24,30
723,2:07:22,Martin KIPRUGUT KOSGEY,1989-03-21,KEN,2,Frankfurt (GER),2016-10-30,27,31
724,2:07:22,Marius KIPSEREM,1988-05-17,KEN,5,Rotterdam (NED),2018-04-08,29,32
725,2:07:22,Evans CHEBET,1988-11-10,KEN,2,Milano (ITA),2019-04-07,30,32
726,2:07:22,Balew YIHUNLE,1998-09-21,ETH,2,Chuncheon (KOR),2019-10-27,21,22
727,2:07:23,Fabián RONCERO,1970-10-19,ESP,2,Rotterdam (NED),1999-04-18,28,50
728,2:07:23,Viktor RÖTHLIN,1974-10-14,SUI,1,Tokyo (JPN),2008-02-17,33,46
729,2:07:23,David Mandago KIPKORIR,1974-12-15,KEN,1,Hamburg (GER),2008-04-27,33,45
730,2:07:23,Nicolas Kipruto KOECH,1982-01-01,KEN,3,Praha (CZE),2010-05-09,28,38
731,2:07:23,Chele DECHASA,1984-06-13,ETH,3,Amsterdam (NED),2010-10-17,26,36
732,2:07:23,Dickson CHUMBA,1986-10-27,KEN,7,Frankfurt (GER),2011-10-30,25,34
733,2:07:23,Augustine RONO,1982-01-01,KEN,3,Hamburg (GER),2012-04-29,30,38
734,2:07:23,Geoffrey KIRUI,1993-02-16,KEN,3,Rotterdam (NED),2016-04-10,23,27
735,2:07:23,Alemayehu LEMA,1982-10-12,ETH,9,Sevilla (ESP),2020-02-23,37,38
736,2:07:23,Yusuke OGURA,1993-04-16,JPN,12,Tokyo (JPN),2020-03-01,26,27
737,2:07:24,Hosea Kiprop ROTICH,1979-08-02,KEN,3,Paris (FRA),2008-04-06,28,41
738,2:07:24,Lawrence CHERONO,1988-08-07,KEN,1,Praha (CZE),2016-05-08,27,32
739,2:07:24,Benson KIPRUTO,1991-03-17,KEN,1,Toronto (CAN),2018-10-21,27,29
740,2:07:24,Tadesse ABRAHAM,1982-08-12,SUI,2,Wien (AUT),2019-04-07,36,38
741,2:07:25,Markos GENETI,1984-06-07,ETH,6,Tokyo (JPN),2015-02-22,30,36
742,2:07:25,Eliud KIPTANUI,1989-06-06,KEN,5,Valencia (ESP),2017-11-19,28,31
743,2:07:25,Abrha MILAW ASEFA,1988-02-27,ETH,1,Cannes (FRA),2018-11-04,30,32
744,2:07:25,Asefa MENGSTU,1988-01-22,ETH,2,Paris (FRA),2019-04-14,31,32
745,2:07:26,Fabián RONCERO,1970-10-19,ESP,1,Rotterdam (NED),1998-04-19,27,50
746,2:07:26,Benjamin KOSKEI,1971-09-05,KEN,1,Amsterdam (NED),2002-10-20,31,49
747,2:07:26,Martin Kiptolo LEL,1978-10-29,KEN,1,London (GBR),2005-04-17,26,42
748,2:07:26,Samuel NDUNGU,1988-04-04,KEN,7,"Chicago, IL (USA)",2012-10-07,24,32
749,2:07:26,Girmay Birhanu GEBRU,1987-01-27,ETH,1,Daegu (KOR),2015-04-05,28,33
750,2:07:26,Tsegaye MEKONNEN,1995-06-15,ETH,1,Hamburg (GER),2017-04-23,21,25
751,2:07:26,Balew YIHUNLE,1998-09-21,ETH,13,Dubai (UAE),2020-01-24,21,22
752,2:07:26,Lucas Kimeli ROTICH,1990-04-16,KEN,17,Valencia (ESP),2020-12-06,30,30
753,2:07:27,Josphat Machuka KIPRONO,1973-12-12,KEN,2,Berlin (GER),1998-09-20,24,46
754,2:07:27,Julio REY,1972-01-13,ESP,1,Hamburg (GER),2003-04-27,31,48
755,2:07:27,Yared ASMEROM,1980-02-04,ERI,2,Chuncheon (KOR),2011-10-23,31,40
756,2:07:27,Seboka Dibaba TOLA,1987-11-10,ETH,3,Seoul (KOR),2013-03-17,25,33
757,2:07:27,Yuma HATTORI,1993-11-13,JPN,1,Fukuoka (JPN),2018-12-02,25,27
758,2:07:27,Javier GUERRA,1983-11-10,ESP,10,Sevilla (ESP),2020-02-23,36,37
759,2:07:27,Yuta SHIMODA,1996-03-31,JPN,13,Tokyo (JPN),2020-03-01,23,24
760,2:07:28,Josiah THUGWANE,1971-04-15,RSA,1,Fukuoka (JPN),1997-12-07,26,49
761,2:07:28,Evans RUTTO,1978-04-08,KEN,4,"Chicago, IL (USA)",2005-10-09,27,42
762,2:07:28,Tesfamriam Samuel TSEGAY,1988-02-24,ERI,8,Amsterdam (NED),2011-10-16,23,32
763,2:07:28,Eshetu WENDIMU,1986-10-03,ETH,11,Dubai (UAE),2012-01-27,25,34
764,2:07:28,Eliud KIPTANUI,1989-06-06,KEN,5,Berlin (GER),2014-09-28,25,31
765,2:07:28,John Nzau MWANGANGI,1990-01-11,KEN,3,Amsterdam (NED),2014-10-19,24,30
766,2:07:28,CyBrian KOTUT,1992-06-06,KEN,3,Frankfurt (GER),2016-10-30,24,28
767,2:07:28,Shura KITATA,1996-06-09,ETH,1,Roma (ITA),2017-04-02,20,24
768,2:07:28,Amos MITEI,1992-03-10,KEN,4,Frankfurt (GER),2018-10-28,26,28
769,2:07:28,Girmaw AMARE,1987-10-26,ISR,11,Sevilla (ESP),2020-02-23,32,33
770,2:07:29,Josphat KIPRONO,1973-12-12,KEN,2,"Chicago, IL (USA)",2000-10-22,26,46
771,2:07:29,Stefano BALDINI,1971-05-25,ITA,6,London (GBR),2002-04-14,30,49
772,2:07:29,Salim KIPSANG,1979-12-22,KEN,3,Berlin (GER),2007-09-30,27,40
773,2:07:29,Abraham CHERKOS,1989-09-23,ETH,4,Amsterdam (NED),2010-10-17,21,31
774,2:07:29,Ronald KORIR,1991-04-10,KEN,6,Frankfurt (GER),2014-10-26,23,29
775,2:07:29,Laban Kipngetich KORIR,1985-06-30,KEN,2,Paris (FRA),2016-04-03,30,35
776,2:07:29,Kelkile GEZAHEGN,1996-10-01,ETH,6,Rotterdam (NED),2017-04-09,20,24
777,2:07:29,Paul LONYANGATA,1992-12-12,KEN,3,Paris (FRA),2019-04-14,26,27
778,2:07:29,Kelkile GEZAHEGN,1996-10-01,ETH,1,Ljubljana (SLO),2019-10-27,23,24
779,2:07:29,Evans CHEBET,1988-11-10,KEN,1,Otsu (JPN),2020-03-08,31,32
780,2:07:30,Jackson Kobut KIPKOECH,1988-02-12,KEN,1,Barcelona (ESP),2010-03-07,22,32
781,2:07:30,Patrick TAMBWÉ,1975-05-05,FRA,1,See Genezareth (ISR),2012-01-12,36,45
782,2:07:30,Asbel KIPSANG,1993-09-10,KEN,6,Seoul (KOR),2016-03-20,22,27
783,2:07:30,Stephen CHEBOGUT,1985-01-09,KEN,7,Amsterdam (NED),2017-10-15,32,35
784,2:07:30,Feyisa LILESA,1990-02-01,ETH,6,Tokyo (JPN),2018-02-25,28,30
785,2:07:30,Limenih GETACHEW,1990-04-30,ETH,5,Barcelona (ESP),2019-03-10,28,30
786,2:07:30,Solomon Kirwa YEGO,1987-05-10,KEN,5,Praha (CZE),2019-05-05,31,33
787,2:07:31,Jonathan Kosgei KIPKORIR,1982-12-29,KEN,7,Paris (FRA),2009-04-05,26,37
788,2:07:31,Levi Omari MATEBO,1989-11-03,KEN,1,Barcelona (ESP),2011-03-06,21,31
789,2:07:31,Felix KENY,1985-12-25,KEN,5,Seoul (KOR),2012-03-18,26,34
