Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,Temp,TimeSec
431,2:06:39,William KIPSANG,1977-06-26,KEN,1,Amsterdam (NED),2003-10-19,26,43,2003,7.1,7599.0
432,2:06:39,Felix LIMO,1980-08-22,KEN,1,London (GBR),2006-04-23,25,40,2006,11.8,7599.0
433,2:06:39,Samuel Kamau WANJIRU,1986-11-10,KEN,1,Fukuoka (JPN),2007-12-02,21,34,2007,10.7,7599.0
434,2:06:39,Geoffrey KAMWOROR,1992-11-28,KEN,4,Berlin (GER),2014-09-28,21,28,2014,13.7,7599.0
435,2:06:39,Belay Asefa BEDADA,1992-06-17,ETH,2,Sevilla (ESP),2019-02-17,26,28,2019,12.8,7599.0
436,2:06:40,Tsegaye KEBEDE,1987-01-15,ETH,1,Paris (FRA),2008-04-06,21,33,2008,5.0,7600.0
437,2:06:40,Bernard Kiprop KIPYEGO,1986-07-16,KEN,6,"Chicago, IL (USA)",2012-10-07,26,34,2012,7.2,7600.0
438,2:06:40,Tadesse ABRAHAM,1982-08-12,SUI,4,Seoul (KOR),2016-03-20,33,38,2016,9.4,7600.0
439,2:06:40,Laban MUTAI,1988-01-15,KEN,1,Eindhoven (NED),2019-10-13,31,32,2019,18.3,7600.0
440,2:06:41,Martin Kiptolo LEL,1978-10-29,KEN,2,London (GBR),2006-04-23,27,42,2006,11.8,7601.0
441,2:06:41,Elijah KEITANY,1983-10-18,KEN,2,Amsterdam (NED),2009-10-18,26,37,2009,7.3,7601.0
442,2:06:41,Tadesse TOLA,1987-10-31,ETH,1,Paris (FRA),2010-04-11,22,33,2010,9.2,7601.0
443,2:06:41,Stanley Kipleting BIWOTT,1986-04-21,KEN,4,London (GBR),2015-04-26,29,34,2015,9.8,7601.0
444,2:06:41,Ernest NGENO,1995-05-20,KEN,3,Paris (FRA),2018-04-08,22,25,2018,16.6,7601.0
445,2:06:41,Martin KIPRUGUT KOSGEY,1989-03-21,KEN,2,Frankfurt (GER),2018-10-28,29,31,2018,6.3,7601.0
446,2:06:41,Berga BIRHANU BEKELE,1981-04-20,ETH,3,Sevilla (ESP),2019-02-17,37,39,2019,12.8,7601.0
447,2:06:41,Tamirat TOLA,1991-08-11,ETH,6,London (GBR),2020-10-04,29,29,2020,10.2,7601.0
448,2:06:42,Felix LIMO,1980-08-22,KEN,2,Amsterdam (NED),2003-10-19,23,40,2003,7.1,7602.0
449,2:06:42,Evans CHEBET,1988-11-10,KEN,4,Tokyo (JPN),2017-02-26,28,32,2017,8.3,7602.0
450,2:06:42,Benson KIPRUTO,1991-03-17,KEN,7,London (GBR),2020-10-04,29,29,2020,10.2,7602.0
451,2:06:43,Tsegaye KEBEDE,1987-01-15,ETH,2,"Chicago, IL (USA)",2010-10-10,23,33,2010,22.1,7603.0
452,2:06:43,Shumi DECHASA,1989-05-28,BRN,1,Hamburg (GER),2014-05-04,24,31,2014,8.4,7603.0
453,2:06:43,Marius KIPSEREM,1988-05-17,KEN,3,Eindhoven (NED),2017-10-08,29,32,2017,12.3,7603.0
454,2:06:43,Michael KUNYUGA,1987-07-27,KEN,5,Sevilla (ESP),2020-02-23,32,33,2020,16.2,7603.0
455,2:06:44,Josphat KIPRONO,1973-12-12,KEN,1,Berlin (GER),1999-09-26,25,47,1999,14.7,7604.0
456,2:06:44,Felix LIMO,1980-08-22,KEN,1,Berlin (GER),2004-09-26,24,40,2004,9.4,7604.0
457,2:06:44,Paul Kiprop KIRUI,1980-02-05,KEN,2,Rotterdam (NED),2006-04-09,26,40,2006,6.1,7604.0
458,2:06:44,Eliud KIPTANUI,1989-06-06,KEN,3,Seoul (KOR),2012-03-18,22,31,2012,7.6,7604.0
459,2:06:44,Gilbert Kipruto KIRWA,1985-12-20,KEN,3,Seoul (KOR),2014-03-16,28,34,2014,11.0,7604.0
460,2:06:44,Abera KUMA,1990-08-31,ETH,4,Valencia (ESP),2017-11-19,27,30,2017,12.8,7604.0
461,2:06:45,Richard LIMO,1980-11-18,KEN,2,Amsterdam (NED),2007-10-21,26,40,2007,9.5,7605.0
462,2:06:45,Getu FELEKE,1986-11-28,ETH,2,Rotterdam (NED),2013-04-14,26,34,2013,15.7,7605.0
463,2:06:45,Abayneh AYELE,1987-11-04,ETH,6,Dubai (UAE),2016-01-22,28,33,2016,20.6,7605.0
464,2:06:45,Bernard Kiprop KIPYEGO,1986-07-16,KEN,8,Amsterdam (NED),2016-10-16,30,34,2016,13.4,7605.0
465,2:06:45,Geoffrey KIRUI,1993-02-16,KEN,6,"Chicago, IL (USA)",2018-10-07,25,27,2018,15.4,7605.0
466,2:06:45,Jonathan KORIR,1986-11-20,KEN,4,Berlin (GER),2019-09-29,32,34,2019,14.5,7605.0
467,2:06:45,Ryu TAKAKU,1993-02-18,JPN,8,Tokyo (JPN),2020-03-01,27,27,2020,11.8,7605.0
468,2:06:46,Abdelkader EL MOUAZIZ,1969-01-01,MAR,5,"Chicago, IL (USA)",2002-10-13,33,51,2002,8.0,7606.0
469,2:06:46,Eshetu WENDIMU,1986-10-03,ETH,3,Dubai (UAE),2010-01-22,23,34,2010,22.2,7606.0
470,2:06:46,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Gongju (KOR),2012-10-21,23,32,2012,,7606.0
471,2:06:46,Mule WASIHUN,1993-10-20,ETH,2,Dubai (UAE),2017-01-20,23,27,2017,23.3,7606.0
472,2:06:46,Okubay TSEGAY,1986-01-01,ERI,4,Sevilla (ESP),2019-02-17,33,34,2019,12.8,7606.0
473,2:06:46,Amos KIPRUTO,1992-09-16,KEN,4,Praha (CZE),2019-05-05,26,28,2019,6.0,7606.0
474,2:06:47,Fred KIPROP,1974-06-03,KEN,1,Amsterdam (NED),1999-10-17,25,46,1999,7.4,7607.0
475,2:06:47,Raymond Kipkoech CHEMWELO,1978-07-19,KEN,1,Berlin (GER),2002-09-29,24,42,2002,11.5,7607.0
476,2:06:47,Wilson ONSARE,1976-06-15,KEN,3,Paris (FRA),2003-04-06,26,44,2003,7.9,7607.0
477,2:06:47,Jonathan MAIYO,1988-05-05,KEN,2,Eindhoven (NED),2014-10-12,26,32,2014,12.4,7607.0
478,2:06:47,Abera KUMA,1990-08-31,ETH,1,Rotterdam (NED),2015-04-12,24,30,2015,9.9,7607.0
479,2:06:47,Gideon Kipkemoi KIPKETER,1992-11-10,KEN,4,Tokyo (JPN),2018-02-25,25,28,2018,5.7,7607.0
480,2:06:47,Deme Tadu ABATE,1997-09-11,ETH,7,Amsterdam (NED),2018-10-21,21,23,2018,13.1,7607.0
481,2:06:47,Bazu WORKU HAYLA,1990-09-15,ETH,6,Sevilla (ESP),2020-02-23,29,30,2020,16.2,7607.0
482,2:06:47,Felix Kipchirchir KANDIE,1987-04-10,KEN,13,Valencia (ESP),2020-12-06,33,33,2020,10.6,7607.0
483,2:06:48,Driss EL HIMER,1974-04-04,FRA,4,Paris (FRA),2003-04-06,29,46,2003,7.9,7608.0
484,2:06:48,Sammy Kipchoge KORIR,1971-12-12,KEN,2,London (GBR),2004-04-18,32,49,2004,8.5,7608.0
485,2:06:48,Rachid KISRI,1975-03-01,MAR,5,Paris (FRA),2009-04-05,34,45,2009,12.5,7608.0
486,2:06:48,Michael KIPYEGO,1983-10-02,KEN,3,Eindhoven (NED),2011-10-09,28,37,2011,10.3,7608.0
487,2:06:48,Abraham GIRMA,1986-09-21,ETH,5,Amsterdam (NED),2012-10-21,26,34,2012,12.4,7608.0
488,2:06:48,Alfers LAGAT,1986-08-07,KEN,3,Frankfurt (GER),2015-10-25,29,34,2015,10.2,7608.0
489,2:06:48,Mark KORIR,1985-01-10,KEN,1,Frankfurt (GER),2016-10-30,31,35,2016,8.5,7608.0
490,2:06:48,Wilson Kipsang KIPROTICH,1982-03-15,KEN,3,Berlin (GER),2018-09-16,36,38,2018,17.4,7608.0
491,2:06:48,Bedan KAROKI,1990-08-21,KEN,2,Tokyo (JPN),2019-03-03,28,30,2019,6.8,7608.0
492,2:06:49,Tesfaye JIFAR,1976-04-23,ETH,2,Amsterdam (NED),1999-10-17,23,44,1999,7.4,7609.0
493,2:06:49,Simon BIWOTT,1972-03-03,KEN,2,Berlin (GER),2002-09-29,30,48,2002,11.5,7609.0
494,2:06:49,Joseph RIRI,1973-01-01,KEN,2,Berlin (GER),2004-09-26,31,47,2004,9.4,7609.0
495,2:06:49,Sylvester Kimeli TEIMET,1984-06-04,KEN,1,Seoul (KOR),2010-03-21,25,36,2010,3.4,7609.0
496,2:06:49,Limenih GETACHEW,1990-04-30,ETH,2,Paris (FRA),2014-04-06,23,30,2014,15.7,7609.0
497,2:06:49,Mark Kosgei KIPTOO,1976-06-21,KEN,1,Frankfurt (GER),2014-10-26,38,44,2014,12.8,7609.0
498,2:06:49,Peter Kimeli SOME,1990-06-05,KEN,3,Daegu (KOR),2018-04-01,27,30,2018,16.8,7609.0
499,2:06:49,Daniel KIBET,1996-05-17,KEN,5,Sevilla (ESP),2019-02-17,22,24,2019,12.8,7609.0
500,2:06:49,Abebe Negewo DEGEFA,1984-05-20,ETH,2,Barcelona (ESP),2019-03-10,34,36,2019,13.8,7609.0
501,2:06:49,Eliud KIPCHOGE,1984-11-05,KEN,8,London (GBR),2020-10-04,35,36,2020,10.2,7609.0
502,2:06:50,Belayneh DINSAMO,1965-06-28,ETH,1,Rotterdam (NED),1988-04-17,22,55,1988,12.9,7610.0
503,2:06:50,William KIPLAGAT,1972-06-21,KEN,3,Amsterdam (NED),1999-10-17,27,48,1999,7.4,7610.0
504,2:06:50,Josphat KIPRONO,1973-12-12,KEN,1,Rotterdam (NED),2001-04-22,27,47,2001,5.7,7610.0
505,2:06:50,Deriba Merga EJIGU,1980-10-26,ETH,2,Fukuoka (JPN),2007-12-02,27,40,2007,10.7,7610.0
506,2:06:50,Moses Kimeli ARUSEI,1983-01-01,KEN,2,Paris (FRA),2008-04-06,25,37,2008,5.0,7610.0
507,2:06:50,Dennis KIMETTO,1984-04-22,KEN,1,Tokyo (JPN),2013-02-24,28,36,2013,4.0,7610.0
508,2:06:50,Tsegaye GETACHEW,1996-11-30,ETH,8,Valencia (ESP),2019-12-01,23,24,2019,15.9,7610.0
509,2:06:51,Atsushi FUJITA,1976-11-06,JPN,1,Fukuoka (JPN),2000-12-03,24,44,2000,13.4,7611.0
510,2:06:51,Abel KIRUI,1982-06-04,KEN,2,Berlin (GER),2007-09-30,25,38,2007,13.7,7611.0
511,2:06:51,Tariku JUFAR,1984-07-18,ETH,1,"Houston, TX (USA)",2012-01-15,27,36,2012,14.7,7611.0
512,2:06:51,Philip Sanga KIMUTAI,1983-09-10,KEN,4,Seoul (KOR),2012-03-18,28,37,2012,7.6,7611.0
513,2:06:51,Martin Kiptolo LEL,1978-10-29,KEN,2,London (GBR),2012-04-22,33,42,2012,9.0,7611.0
514,2:06:51,Yemane TSEGAY,1985-04-08,ETH,1,Daegu (KOR),2014-04-06,28,35,2014,9.2,7611.0
515,2:06:51,Franklin CHEPKWONY,1984-06-15,KEN,5,Seoul (KOR),2016-03-20,31,36,2016,9.4,7611.0
516,2:06:51,Jonathan KORIR,1986-11-20,KEN,8,Amsterdam (NED),2018-10-21,31,34,2018,13.1,7611.0
517,2:06:52,Abdelkader EL MOUAZIZ,1969-01-01,MAR,4,London (GBR),2002-04-14,33,51,2002,8.0,7612.0
518,2:06:52,Vincent KIPSOS,1976-06-22,KEN,3,Berlin (GER),2002-09-29,26,44,2002,11.5,7612.0
519,2:06:52,Charles Kibiwott SERONEI,1974-08-08,KEN,3,Rotterdam (NED),2006-04-09,31,46,2006,6.1,7612.0
520,2:06:52,Julio REY,1972-01-13,ESP,1,Hamburg (GER),2006-04-23,34,48,2006,9.1,7612.0
521,2:06:52,Haile GEBRSELASSIE,1973-04-18,ETH,1,Fukuoka (JPN),2006-12-03,33,47,2006,7.4,7612.0
522,2:06:52,Tsegaye KEBEDE,1987-01-15,ETH,3,London (GBR),2012-04-22,25,33,2012,9.0,7612.0
523,2:06:52,Deressa CHIMSA,1976-11-21,ETH,2,Frankfurt (GER),2012-10-28,35,44,2012,1.6,7612.0
524,2:06:52,Philemon RONO,1991-02-08,KEN,1,Toronto (CAN),2017-10-22,26,29,2017,15.8,7612.0
525,2:06:52,Daniel KIBET,1996-05-17,KEN,3,Buenos Aires (ARG),2019-09-22,23,24,2019,13.6,7612.0
526,2:06:52,Birhan NEBEBEW,1994-08-14,ETH,5,Lisboa (POR),2019-10-20,25,26,2019,15.1,7612.0
527,2:06:53,David Mandago KIPKORIR,1974-12-15,KEN,6,Paris (FRA),2009-04-05,34,45,2009,12.5,7613.0
528,2:06:53,Emmanuel MUTAI,1984-10-12,KEN,4,London (GBR),2009-04-26,24,36,2009,13.8,7613.0
529,2:06:53,Elijah KEITANY,1983-10-18,KEN,5,Amsterdam (NED),2011-10-16,27,37,2011,8.3,7613.0
530,2:06:53,Samuel Kiplimo KOSGEI,1986-01-20,KEN,7,Dubai (UAE),2016-01-22,30,34,2016,20.6,7613.0
531,2:06:54,Ondoro OSORO,1967-12-03,KEN,1,"Chicago, IL (USA)",1998-10-11,30,53,1998,14.4,7614.0
532,2:06:54,Abel KIRUI,1982-06-04,KEN,1,"Olympiastadion, Berlin (GER)",2009-08-22,27,38,2009,,7614.0
533,2:06:54,Paul Kipkemboi BIWOTT,1978-04-18,KEN,6,Amsterdam (NED),2011-10-16,33,42,2011,8.3,7614.0
534,2:06:54,Yemane TSEGAY,1985-04-08,ETH,1,Ottawa (CAN),2014-05-25,29,35,2014,18.0,7614.0
535,2:06:54,Tilahun REGASSA,1990-01-18,ETH,2,Xiamen (CHN),2015-01-03,24,30,2015,16.0,7614.0
536,2:06:54,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,1,Gongju (KOR),2017-10-15,28,32,2017,,7614.0
537,2:06:54,Hiroto INOUE,1993-01-06,JPN,5,Tokyo (JPN),2018-02-25,25,27,2018,5.7,7614.0
538,2:06:54,Deme Tadu ABATE,1997-09-11,ETH,2,Hamburg (GER),2018-04-29,20,23,2018,13.7,7614.0
539,2:06:54,Anthony MARITIM,1986-11-12,KEN,3,Barcelona (ESP),2019-03-10,32,34,2019,13.8,7614.0
540,2:06:54,Daisuke UEKADO,1993-12-11,JPN,9,Tokyo (JPN),2020-03-01,26,27,2020,11.8,7614.0
541,2:06:55,Hendrick RAMAALA,1972-02-02,RSA,3,London (GBR),2006-04-23,34,48,2006,11.8,7615.0
542,2:06:55,Jaouad GHARIB,1972-05-22,MAR,3,London (GBR),2010-04-25,37,48,2010,14.0,7615.0
543,2:06:55,Tadesse TOLA,1987-10-31,ETH,1,Warszawa (POL),2014-04-13,26,33,2014,8.7,7615.0
544,2:06:56,Mergersa BACHA,1985-01-18,ETH,4,Paris (FRA),2013-04-07,28,35,2013,6.5,7616.0
545,2:06:56,Micah Kemboi KOGO,1986-06-30,KEN,4,"Chicago, IL (USA)",2013-10-13,27,34,2013,14.1,7616.0
546,2:06:56,Feyisa LILESA,1990-02-01,ETH,1,Tokyo (JPN),2016-02-28,26,30,2016,8.8,7616.0
547,2:06:56,Sisay LEMMA,1990-12-12,ETH,4,Berlin (GER),2016-09-25,25,30,2016,15.9,7616.0
548,2:06:56,Kelkile GEZAHEGN,1996-10-01,ETH,2,Frankfurt (GER),2017-10-29,21,24,2017,10.8,7616.0
549,2:06:56,Vincent KIPCHUMBA,1990-08-03,KEN,1,Wien (AUT),2019-04-07,28,30,2019,13.3,7616.0
550,2:06:56,Fred MUSOBO,1996-08-12,UGA,3,Daegu (KOR),2019-04-07,22,24,2019,13.7,7616.0
551,2:06:57,Takayuki INUBUSHI,1972-08-11,JPN,2,Berlin (GER),1999-09-26,27,48,1999,14.7,7617.0
552,2:06:57,Tesfaye TOLA,1974-10-19,ETH,4,Amsterdam (NED),1999-10-17,24,46,1999,7.4,7617.0
553,2:06:57,Philip Sanga KIMUTAI,1983-09-10,KEN,5,Paris (FRA),2013-04-07,29,37,2013,6.5,7617.0
554,2:06:57,Ayele ABSHERO,1990-12-28,ETH,3,London (GBR),2013-04-21,22,29,2013,8.6,7617.0
555,2:06:57,Feyisa LILESA,1990-02-01,ETH,3,Berlin (GER),2015-09-27,25,30,2015,10.5,7617.0
556,2:06:57,Stephen CHEBOGUT,1985-01-09,KEN,2,Paris (FRA),2017-04-09,32,35,2017,17.6,7617.0
557,2:06:57,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Seoul (KOR),2018-03-18,29,32,2018,8.9,7617.0
558,2:06:57,Tamirat TOLA,1991-08-11,ETH,6,London (GBR),2019-04-28,27,29,2019,10.8,7617.0
559,2:06:58,Daniel Kipkurgat RONO,1978-07-13,KEN,2,Rotterdam (NED),2008-04-13,29,42,2008,8.2,7618.0
560,2:06:58,Henry Kemo SUGUT,1985-05-04,KEN,1,Wien (AUT),2012-04-15,26,35,2012,10.6,7618.0
561,2:06:58,Joseph GITAU,1988-01-03,KEN,1,Fukuoka (JPN),2012-12-02,24,32,2012,8.1,7618.0
562,2:06:58,Michael KIPYEGO,1983-10-02,KEN,2,Tokyo (JPN),2013-02-24,29,37,2013,4.0,7618.0
563,2:06:58,Michael KIPYEGO,1983-10-02,KEN,4,Tokyo (JPN),2014-02-23,30,37,2014,5.5,7618.0
564,2:06:58,Tesfaye ABERA,1992-03-31,ETH,1,Hamburg (GER),2016-04-17,24,28,2016,7.6,7618.0
565,2:06:58,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,1,Gongju (KOR),2016-10-16,27,32,2016,,7618.0
566,2:06:59,Gilbert Kipruto KIRWA,1985-12-20,KEN,2,Seoul (KOR),2010-03-21,24,34,2010,3.4,7619.0
567,2:06:59,Franklin CHEPKWONY,1984-06-15,KEN,1,Seoul (KOR),2013-03-17,28,36,2013,7.5,7619.0
568,2:06:59,Kaan Kigen ÖZBILEN,1986-01-15,KEN,2,Frankfurt (GER),2014-10-26,28,34,2014,12.8,7619.0
569,2:06:59,Filex Kipchirchir KIPROTICH,1988-12-07,KEN,2,Seoul (KOR),2015-03-15,26,32,2015,4.3,7619.0
570,2:06:59,Kennedy CHEBOROR,1990-04-26,KEN,4,Daegu (KOR),2019-04-07,28,30,2019,13.7,7619.0
571,2:06:59,Silas MWETICH,1997-05-24,KEN,5,Toronto (CAN),2019-10-20,22,23,2019,11.2,7619.0
572,2:07:00,Eric NDIEMA,1992-12-28,KEN,2,Hamburg (GER),2014-05-04,21,27,2014,8.4,7620.0
573,2:07:00,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,4,Paris (FRA),2018-04-08,25,27,2018,16.6,7620.0
574,2:07:00,Reuben KERIO,1994-06-02,KEN,2,Eindhoven (NED),2019-10-13,25,26,2019,18.3,7620.0
575,2:07:00,Robert KWAMBAI,1985-11-22,KEN,1,Chuncheon (KOR),2019-10-27,33,35,2019,9.6,7620.0
576,2:07:01,Khalid KHANNOUCHI,1971-12-22,USA,1,"Chicago, IL (USA)",2000-10-22,28,48,2000,15.6,7621.0
577,2:07:01,Geoffrey MUTAI,1981-10-07,KEN,1,Eindhoven (NED),2009-10-11,28,39,2009,12.3,7621.0
578,2:07:01,Bernard Kiprop KIPYEGO,1986-07-16,KEN,5,Rotterdam (NED),2010-04-11,23,34,2010,6.8,7621.0
579,2:07:01,Dadi Yami GEMEDA,1982-01-01,ETH,2,Hamburg (GER),2012-04-29,30,38,2012,12.6,7621.0
580,2:07:01,Lawrence KIMAYO,1990-09-02,KEN,1,Košice (SVK),2012-10-07,22,30,2012,12.5,7621.0
581,2:07:01,Wilson Loyanae ERUPE,1988-11-20,KEN,1,Gongju (KOR),2015-10-11,26,32,2015,,7621.0
582,2:07:01,Laban Kipngetich KORIR,1985-06-30,KEN,6,Amsterdam (NED),2017-10-15,32,35,2017,16.1,7621.0
583,2:07:02,Sammy LELEI,1964-08-14,KEN,1,Berlin (GER),1995-09-24,31,56,1995,13.1,7622.0
584,2:07:02,Driss EL HIMER,1974-04-04,FRA,1,Amsterdam (NED),2001-10-21,27,46,2001,14.3,7622.0
585,2:07:02,Jaouad GHARIB,1972-05-22,MAR,3,London (GBR),2004-04-18,31,48,2004,8.5,7622.0
586,2:07:02,Felix LIMO,1980-08-22,KEN,1,"Chicago, IL (USA)",2005-10-09,25,40,2005,12.1,7622.0
587,2:07:02,Paul Kipkemboi BIWOTT,1978-04-18,KEN,3,Amsterdam (NED),2009-10-18,31,42,2009,7.3,7622.0
588,2:07:02,Tariku JUFAR,1984-07-18,ETH,4,Seoul (KOR),2014-03-16,29,36,2014,11.0,7622.0
589,2:07:03,Stanley Kipleting BIWOTT,1986-04-21,KEN,1,Chuncheon (KOR),2011-10-23,25,34,2011,14.6,7623.0
590,2:07:03,Mark KORIR,1985-01-10,KEN,2,Seoul (KOR),2018-03-18,33,35,2018,8.9,7623.0
591,2:07:03,Sisay LEMMA,1990-12-12,ETH,2,Praha (CZE),2018-05-06,27,30,2018,15.0,7623.0
592,2:07:03,Bashir ABDI,1989-02-10,BEL,7,London (GBR),2019-04-28,30,31,2019,10.8,7623.0
593,2:07:03,Hamid BEN DAOUD,1996-02-19,ESP,14,Valencia (ESP),2020-12-06,24,24,2020,10.6,7623.0
594,2:07:04,Khalid KHANNOUCHI,1971-12-22,USA,4,London (GBR),2006-04-23,34,48,2006,11.8,7624.0
595,2:07:04,Francis KIPROP,1984-12-25,KEN,2,Berlin (GER),2009-09-20,24,35,2009,17.7,7624.0
596,2:07:04,Elias KEMBOI,1984-03-10,KEN,3,Frankfurt (GER),2010-10-31,26,36,2010,10.7,7624.0
597,2:07:04,Bekana DABA,1988-07-29,ETH,1,"Houston, TX (USA)",2011-01-30,22,32,2011,17.6,7624.0
598,2:07:04,Samuel NDUNGU,1988-04-04,KEN,1,Otsu (JPN),2012-03-04,23,32,2012,,7624.0
599,2:07:05,Joshua CHELANGA,1973-04-07,KEN,3,Berlin (GER),2004-09-26,31,47,2004,9.4,7625.0
600,2:07:05,William KIPLAGAT,1972-06-21,KEN,3,Frankfurt (GER),2009-10-25,37,48,2009,12.9,7625.0
601,2:07:05,Deressa CHIMSA,1976-11-21,ETH,1,Toronto (CAN),2013-10-20,36,44,2013,8.4,7625.0
602,2:07:05,Peter Kimeli SOME,1990-06-05,KEN,5,Tokyo (JPN),2014-02-23,23,30,2014,5.5,7625.0
603,2:07:05,Abrha MILAW ASEFA,1988-02-27,ETH,1,Paris (FRA),2019-04-14,31,32,2019,5.9,7625.0
604,2:07:05,Toshiki SADAKATA,1992-03-04,JPN,10,Tokyo (JPN),2020-03-01,27,28,2020,11.8,7625.0
605,2:07:05,Yuya YOSHIDA,1997-04-23,JPN,1,Fukuoka (JPN),2020-12-06,23,23,2020,9.6,7625.0
606,2:07:06,Josphat KIPRONO,1973-12-12,KEN,2,Amsterdam (NED),2001-10-21,27,47,2001,14.3,7626.0
607,2:07:06,Ian SYSTER,1976-01-20,RSA,5,London (GBR),2002-04-14,26,44,2002,8.0,7626.0
608,2:07:06,Gert THYS,1971-11-12,RSA,1,Seoul (KOR),2004-03-14,32,49,2004,6.9,7626.0
609,2:07:06,Charles Kiama MUNYEKI,1988-11-02,KEN,4,"Chicago, IL (USA)",2009-10-11,20,32,2009,2.9,7626.0
610,2:07:06,Gebretsadik ABRAHA,1992-07-16,ETH,2,Daegu (KOR),2014-04-06,21,28,2014,9.2,7626.0
611,2:07:06,Sisay LEMMA,1990-12-12,ETH,5,Dubai (UAE),2015-01-23,24,30,2015,18.8,7626.0
612,2:07:06,Mathew Kipkoech KISORIO,1989-05-16,KEN,1,Beijing (CHN),2019-11-03,30,31,2019,10.8,7626.0
613,2:07:07,Ahmed SALAH,1956-12-31,DJI,2,Rotterdam (NED),1988-04-17,31,63,1988,12.9,7627.0
614,2:07:07,Paul KOECH,1969-06-25,KEN,2,"Chicago, IL (USA)",2003-10-12,34,51,2003,14.7,7627.0
615,2:07:07,Benson Kipchumba BARUS,1980-07-04,KEN,1,Praha (CZE),2011-05-08,30,40,2011,13.9,7627.0
616,2:07:07,Philemon RONO,1991-02-08,KEN,3,Hamburg (GER),2014-05-04,23,29,2014,8.4,7627.0
617,2:07:07,Samuel Kiplimo KOSGEI,1986-01-20,KEN,1,Košice (SVK),2015-10-04,29,34,2015,14.7,7627.0
618,2:07:07,Felix Kipchirchir KANDIE,1987-04-10,KEN,3,Valencia (ESP),2015-11-15,28,33,2015,13.5,7627.0
619,2:07:07,Abel KIRUI,1982-06-04,KEN,4,London (GBR),2018-04-22,35,38,2018,18.1,7627.0
620,2:07:08,John KIPROTICH,1989-03-30,KEN,7,Amsterdam (NED),2011-10-16,22,31,2011,8.3,7628.0
621,2:07:08,Mark KORIR,1985-01-10,KEN,2,Seoul (KOR),2013-11-03,28,35,2013,10.8,7628.0
622,2:07:08,Abraham CHERKOS,1989-09-23,ETH,5,Seoul (KOR),2014-03-16,24,31,2014,11.0,7628.0
623,2:07:08,Gilbert YEGON,1988-08-06,KEN,3,Frankfurt (GER),2014-10-26,26,32,2014,12.8,7628.0
625,2:07:09,Japheth KOSGEI,1968-12-20,KEN,1,Rotterdam (NED),1999-04-18,30,51,1999,5.6,7629.0
626,2:07:09,Benjamin MAIYO,1978-10-06,KEN,2,"Chicago, IL (USA)",2005-10-09,27,42,2005,12.1,7629.0
627,2:07:09,Bazu WORKU HAYLA,1990-09-15,ETH,6,Dubai (UAE),2015-01-23,24,30,2015,18.8,7629.0
628,2:07:09,Alex KIBET,1990-11-10,KEN,3,Frankfurt (GER),2018-10-28,27,30,2018,6.3,7629.0
629,2:07:09,Robert KIPKEMBOI,1988-06-19,KEN,5,Seoul (KOR),2019-03-17,30,32,2019,6.4,7629.0
630,2:07:09,Evans KORIR,1987-07-10,KEN,5,Daegu (KOR),2019-04-07,31,33,2019,13.7,7629.0
631,2:07:09,Zelalem BACHA,1988-01-10,BRN,12,Dubai (UAE),2020-01-24,32,32,2020,20.6,7629.0
632,2:07:09,Abdi NAGEEYE,1989-03-02,NED,15,Valencia (ESP),2020-12-06,31,31,2020,10.6,7629.0
633,2:07:10,Khalid KHANNOUCHI,1971-12-22,MAR,1,"Chicago, IL (USA)",1997-10-19,25,48,1997,11.5,7630.0
634,2:07:10,Belay Asefa BEDADA,1992-06-17,ETH,4,Hamburg (GER),2014-05-04,21,28,2014,8.4,7630.0
635,2:07:10,Tebalu ZAWUDE HEYI,1987-11-02,ETH,4,Frankfurt (GER),2014-10-26,26,33,2014,12.8,7630.0
636,2:07:10,Festus TALAM,1994-10-20,KEN,4,Rotterdam (NED),2017-04-09,22,26,2017,12.4,7630.0
637,2:07:10,Dejene DEBELA,1995-01-09,ETH,4,Eindhoven (NED),2017-10-08,22,25,2017,12.3,7630.0
638,2:07:10,Stephen KIPROTICH,1989-02-27,UGA,2,Fukuoka (JPN),2017-12-03,28,31,2017,9.8,7630.0
639,2:07:10,Vincent RONO,1990-12-11,KEN,5,Rotterdam (NED),2019-04-07,28,30,2019,13.3,7630.0
640,2:07:10,Dawit WOLDE,1991-05-19,ETH,2,Frankfurt (GER),2019-10-27,28,29,2019,11.3,7630.0
641,2:07:10,El Mahjoub DAZZA,1991-03-03,MAR,1,Fukuoka (JPN),2019-12-01,28,29,2019,14.3,7630.0
642,2:07:11,Abdelkader EL MOUAZIZ,1969-01-01,MAR,1,London (GBR),2001-04-22,32,51,2001,8.9,7631.0
643,2:07:11,Alfred KERING,1978-11-20,KEN,2,Paris (FRA),2010-04-11,31,42,2010,9.2,7631.0
644,2:07:11,Yemane TSEGAY,1985-04-08,ETH,2,Praha (CZE),2010-05-09,25,35,2010,12.5,7631.0
645,2:07:11,Philip Sanga KIMUTAI,1983-09-10,KEN,4,Frankfurt (GER),2010-10-31,27,37,2010,10.7,7631.0
