Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
3402,2:10:10,Abayneh AYELE,1987-11-04,ETH,1,Lanzhou (CHN),2015-06-14,27,33,2015,7810.0
3403,2:10:10,Satoru SASAKI,1985-10-16,JPN,4,Otsu (JPN),2017-03-05,31,35,2017,7810.0
3404,2:10:10,Mohamed EL TALHAOUI,1991-01-01,MAR,4,Marrakesh (MAR),2019-01-27,28,29,2019,7810.0
3405,2:10:10,Sahlesilassie NIGUSSIE,1995-01-01,ETH,1,Stockholm (SWE),2019-06-01,24,25,2019,7810.0
3406,2:10:10,Yassine EL FATHAOUI,1982-03-23,ITA,27,Sevilla (ESP),2020-02-23,37,38,2020,7810.0
3407,2:10:11,Hugh JONES,1955-11-01,GBR,3,London (GBR),1987-05-10,31,65,1987,7811.0
3408,2:10:11,Brad CAMP,1964-12-25,AUS,1,Surfers Paradise (AUS),1989-07-23,24,55,1989,7811.0
3409,2:10:11,Brad CAMP,1964-12-25,AUS,1,Gold Coast (AUS),1989-07-23,24,55,1989,7811.0
3410,2:10:11,Alfredo SHAHANGA,1965-04-14,TAN,1,Berlin (GER),1989-10-01,24,55,1989,7811.0
3411,2:10:11,Gezahegn ABERA,1978-04-23,ETH,1,"Olympic Stadium, Sydney (AUS)",2000-10-01,22,42,2000,7811.0
3412,2:10:11,Ke GONG,1979-08-16,CHN,1,Beijing (CHN),2001-10-14,22,41,2001,7811.0
3413,2:10:11,Ambesse TOLOSSA,1977-08-28,ETH,7,Amsterdam (NED),2002-10-20,25,43,2002,7811.0
3414,2:10:11,Noriaki IGARASHI,1972-10-28,JPN,3,Tokyo (JPN),2003-02-09,30,48,2003,7811.0
3415,2:10:11,Mola SHIMELIS,1982-01-01,ETH,6,Berlin (GER),2005-09-25,23,38,2005,7811.0
3416,2:10:11,Philip SINGOEI,1975-12-31,KEN,7,Paris (FRA),2006-04-09,30,44,2006,7811.0
3417,2:10:11,Sylvester Kimeli TEIMET,1984-06-04,KEN,3,Seoul (KOR),2009-03-14,24,36,2009,7811.0
3418,2:10:11,Samuel Muturi MUGO,1986-05-02,KEN,3,Xiamen (CHN),2010-01-02,23,34,2010,7811.0
3419,2:10:11,Luka Chelimo KIPKEMBOI,1977-01-01,KEN,5,Chuncheon (KOR),2010-10-24,33,43,2010,7811.0
3420,2:10:11,Julius MURIUKI,1985-07-03,KEN,3,See Genezareth (ISR),2011-01-06,25,35,2011,7811.0
3421,2:10:11,Daniel Kipkurgat RONO,1978-07-13,KEN,6,Ljubljana (SLO),2011-10-23,33,42,2011,7811.0
3422,2:10:11,Jaouad GHARIB,1972-05-22,MAR,3,Warszawa (POL),2013-04-21,40,48,2013,7811.0
3423,2:10:11,Eliud KIPTANUI,1989-06-06,KEN,7,Seoul (KOR),2015-03-15,25,31,2015,7811.0
3424,2:10:11,Henryk SZOST,1982-01-20,POL,9,Warszawa (POL),2015-04-26,33,38,2015,7811.0
3425,2:10:11,William YEGON,1983-01-10,KEN,2,Hefei (CHN),2015-10-25,32,37,2015,7811.0
3426,2:10:11,Maru TEFERI,1992-08-17,ISR,8,Sevilla (ESP),2019-02-17,26,28,2019,7811.0
3427,2:10:11,Edwin KOSGEI,1989-09-17,KEN,9,Wien (AUT),2019-04-07,29,31,2019,7811.0
3428,2:10:11,Allan KIPRONO,1990-02-15,KEN,4,Buenos Aires (ARG),2019-09-22,29,30,2019,7811.0
3429,2:10:11,Derlys AYALA,1990-01-07,PAR,32,Valencia (ESP),2020-12-06,30,30,2020,7811.0
3430,2:10:12,Toshihiko SEKO,1956-07-15,JPN,2,"Boston, MA (USA)",1979-04-16,22,64,1979,7812.0
3431,2:10:12,Gerry HELME,1957-03-28,GBR,2,London (GBR),1983-04-17,26,63,1983,7812.0
3432,2:10:12,Severino BERNARDINI,1966-03-31,ITA,2,San Sebastián (ESP),1993-10-31,27,54,1993,7812.0
3433,2:10:12,Young-hoon YOO,1972-02-27,KOR,5,Kyongju (KOR),1994-03-20,22,48,1994,7812.0
3434,2:10:12,Stephan FREIGANG,1967-09-27,GER,2,Oita (JPN),1995-02-05,27,53,1995,7812.0
3435,2:10:12,Roberto BARBI,1965-03-25,ITA,3,Venezia (ITA),2000-10-22,35,55,2000,7812.0
3436,2:10:12,Willy CHERUIYOT,1974-08-02,KEN,1,Eindhoven (NED),2002-10-13,28,46,2002,7812.0
3437,2:10:12,Mathew SIGEI,1982-01-01,KEN,8,Amsterdam (NED),2002-10-20,20,38,2002,7812.0
3438,2:10:12,Ruggero PERTILE,1974-08-08,ITA,1,Roma (ITA),2004-03-28,29,46,2004,7812.0
3439,2:10:12,Toshiya KATAYAMA,1973-04-23,JPN,7,Otsu (JPN),2005-03-06,31,47,2005,7812.0
3440,2:10:12,Teferi WODAJO,1982-01-27,ETH,7,Eindhoven (NED),2005-10-09,23,38,2005,7812.0
3441,2:10:12,Joel RONO,1977-01-01,KEN,8,Eindhoven (NED),2005-10-09,28,43,2005,7812.0
3442,2:10:12,José Manuel MARTÍNEZ,1971-10-22,ESP,2,Roma (ITA),2007-03-18,35,49,2007,7812.0
3443,2:10:12,Moses KIGEN,1973-04-22,KEN,1,Nairobi (KEN),2009-10-25,36,47,2009,7812.0
3444,2:10:12,William BIAMA,1984-01-17,KEN,1,Ljubljana (SLO),2009-10-25,25,36,2009,7812.0
3445,2:10:12,Dmitriy SAFRONOV,1981-10-08,RUS,2,Fukuoka (JPN),2010-12-05,29,39,2010,7812.0
3446,2:10:12,Sahle WARGA,1984-01-30,ETH,8,Paris (FRA),2011-04-10,27,36,2011,7812.0
3447,2:10:12,Kohei MATSUMURA,1986-11-05,JPN,7,Otsu (JPN),2013-03-03,26,34,2013,7812.0
3448,2:10:12,Lelisa DESISA,1990-01-14,ETH,2,"Luzhniki, Moskva (RUS)",2013-08-17,23,30,2013,7812.0
3449,2:10:12,Samuel Kiplimo KOSGEI,1986-01-20,KEN,5,Praha (CZE),2016-05-08,30,34,2016,7812.0
3450,2:10:12,Abraham AKOPESHA,1993-12-10,KEN,11,Paris (FRA),2017-04-09,23,27,2017,7812.0
3451,2:10:12,Shohei OTSUKA,1994-08-13,JPN,3,Oita (JPN),2018-02-04,23,26,2018,7812.0
3452,2:10:12,Oleksandr SITKOVSKIY,1978-06-09,UKR,9,Seoul (KOR),2018-03-18,39,42,2018,7812.0
3453,2:10:12,Kenneth KIPLAGAT,1990-08-14,KEN,1,Mersin (TUR),2018-12-16,28,30,2018,7812.0
3454,2:10:12,Stanley BETT,1986-12-13,KEN,2,Hangzhou (CHN),2019-11-03,32,34,2019,7812.0
3455,2:10:13,Bill RODGERS,1947-12-23,USA,1,"Boston, MA (USA)",1978-04-17,30,72,1978,7813.0
3456,2:10:13,Charles SPEDDING,1952-05-09,GBR,3,"Chicago, IL (USA)",1986-10-26,34,68,1986,7813.0
3457,2:10:13,Jon BROWN,1971-02-27,GBR,9,"Chicago, IL (USA)",1997-10-19,26,49,1997,7813.0
3458,2:10:13,Ambesse TOLOSSA,1977-08-28,ETH,1,Sapporo (JPN),1998-08-30,21,43,1998,7813.0
3459,2:10:13,Yoshiteru MORISHITA,1971-05-26,JPN,2,Beppu (JPN),1999-02-07,27,49,1999,7813.0
3460,2:10:13,Mark SAINA,1970-11-10,KEN,9,Rotterdam (NED),2003-04-13,32,50,2003,7813.0
3461,2:10:13,John Nada SAYA,1978-08-08,TAN,2,Seoul (KOR),2003-11-02,25,42,2003,7813.0
3462,2:10:13,Luc KROTWAAR,1968-01-25,NED,11,Fukuoka (JPN),2003-12-07,35,52,2003,7813.0
3463,2:10:13,John Yuda MSURI,1979-06-09,TAN,9,London (GBR),2004-04-18,24,41,2004,7813.0
3464,2:10:13,Daniel Kiplagat CHERIBO,1981-01-01,KEN,5,Paris (FRA),2005-04-10,24,39,2005,7813.0
3465,2:10:13,Kenneth Mburu MUNGARA,1973-09-07,KEN,2,Mombasa (KEN),2007-05-27,33,47,2007,7813.0
3466,2:10:13,Elijah SANG,1980-01-01,KEN,7,Frankfurt (GER),2007-10-28,27,40,2007,7813.0
3467,2:10:13,Stephen Kipkoech KIBIWOTT,1980-04-03,KEN,1,Torino (ITA),2008-04-13,28,40,2008,7813.0
3468,2:10:13,Deriba DEME,1986-01-01,ETH,7,Amsterdam (NED),2008-10-19,22,34,2008,7813.0
3469,2:10:13,Nicholas Chelimo KIPKORIR,1983-01-08,KEN,6,Daegu (KOR),2009-04-12,26,37,2009,7813.0
3470,2:10:13,Oleg KULKOV,1978-03-06,RUS,2,Zürich (SUI),2009-04-26,31,42,2009,7813.0
3471,2:10:13,Nelson Kirwa ROTICH,1981-01-01,KEN,2,Chuncheon (KOR),2009-10-25,28,39,2009,7813.0
3472,2:10:13,Oleg KULKOV,1978-03-06,RUS,3,Seoul (KOR),2011-03-20,33,42,2011,7813.0
3473,2:10:13,Albert Kiplagat MATEBOR,1980-12-25,KEN,2,Gold Coast (AUS),2011-07-03,30,39,2011,7813.0
3474,2:10:13,Takeshi KUMAMOTO,1984-01-06,JPN,9,Tokyo (JPN),2012-02-26,28,36,2012,7813.0
3475,2:10:13,Solomon BUSHENDICH,1984-01-10,KEN,1,Sevilla (ESP),2013-02-24,29,36,2013,7813.0
3476,2:10:13,Daniel KOSGEI,1986-06-19,KEN,1,Castellón (ESP),2014-12-07,28,34,2014,7813.0
3477,2:10:13,Jacob Kibet Chulyo KENDAGOR,1984-08-24,KEN,7,Amsterdam (NED),2015-10-18,31,36,2015,7813.0
3478,2:10:13,Hassane AHOUCHAR,1975-01-01,MAR,9,Valencia (ESP),2015-11-15,40,45,2015,7813.0
3479,2:10:13,Dejene DEBELA,1995-01-09,ETH,5,Eindhoven (NED),2016-10-09,21,25,2016,7813.0
3480,2:10:13,Yuki KAWAUCHI,1987-03-05,JPN,6,Praha (CZE),2017-05-07,30,33,2017,7813.0
3481,2:10:13,Asuka TANAKA,1989-11-05,JPN,16,Tokyo (JPN),2018-02-25,28,31,2018,7813.0
3482,2:10:13,Tadesse TOLA,1987-10-31,ETH,1,Shenzhen (CHN),2019-12-15,32,33,2019,7813.0
3483,2:10:13,Koki YOSHIOKA,1997-01-06,JPN,10,Otsu (JPN),2020-03-08,23,23,2020,7813.0
3484,2:10:13,Koki YOSHIOKA,1997-01-06,JPN,8,Fukuoka (JPN),2020-12-06,23,23,2020,7813.0
3485,2:10:14,John KEMBOI,1971-07-27,KEN,1,Paris (FRA),1997-04-06,25,49,1997,7814.0
3486,2:10:14,Eder FIALHO,1973-05-04,BRA,5,Tokyo (JPN),1998-02-08,24,47,1998,7814.0
3487,2:10:14,Wensley CHELULE,1974-09-04,KEN,5,Roma (ITA),2000-01-01,25,46,2000,7814.0
3488,2:10:14,Andrew SAMBU,1972-10-05,TAN,1,Praha (CZE),2001-05-20,28,48,2001,7814.0
3489,2:10:14,Tesfaye ETICHA,1974-09-16,ETH,8,Paris (FRA),2002-04-07,27,46,2002,7814.0
3490,2:10:14,Pavel LOSKUTOV,1969-12-02,EST,4,Fukuoka (JPN),2002-12-01,32,51,2002,7814.0
3491,2:10:14,Ernest KIPYEGO,1978-10-06,KEN,10,Rotterdam (NED),2003-04-13,24,42,2003,7814.0
3492,2:10:14,Christopher CHEBOIBOCH,1977-03-03,KEN,5,Rotterdam (NED),2005-04-10,28,43,2005,7814.0
3493,2:10:14,Benjamin KIPTOO,1979-01-10,KEN,1,Beijing (CHN),2008-10-19,29,41,2008,7814.0
3494,2:10:14,Julius Kibet KOSKEI,1982-04-06,KEN,8,Frankfurt (GER),2008-10-26,26,38,2008,7814.0
3495,2:10:14,Ridouane HARROUFI,1981-07-30,MAR,5,Seoul (KOR),2008-11-02,27,39,2008,7814.0
3496,2:10:14,Tola BANE,1988-03-21,ETH,16,Frankfurt (GER),2011-10-30,23,32,2011,7814.0
3497,2:10:14,Bazu WORKU HAYLA,1990-09-15,ETH,10,London (GBR),2012-04-22,21,30,2012,7814.0
3498,2:10:14,Paul Kipkemboi BIWOTT,1978-04-18,KEN,7,Hamburg (GER),2012-04-29,34,42,2012,7814.0
3499,2:10:14,Yekeber BAYABEL,1991-11-12,ETH,11,Dubai (UAE),2014-01-24,22,29,2014,7814.0
3500,2:10:14,Yuki KAWAUCHI,1987-03-05,JPN,1,Kumamoto (JPN),2014-02-16,26,33,2014,7814.0
3501,2:10:14,Shengo KEBEDE,1989-01-01,ETH,4,Düsseldorf (GER),2014-04-27,25,31,2014,7814.0
3502,2:10:14,Nixon Machichim KIPKOECH,1983-01-01,KEN,1,Lyon (FRA),2015-10-04,32,37,2015,7814.0
3503,2:10:14,Tito TUWEI,1993-01-01,KEN,1,Zhengzhou (CHN),2017-03-26,24,27,2017,7814.0
3504,2:10:14,Eliud KIPTANUI,1989-06-06,KEN,1,Ottawa (CAN),2017-05-28,27,31,2017,7814.0
3505,2:10:14,Emmanuel MUTAI,1984-10-12,KEN,12,Valencia (ESP),2017-11-19,33,36,2017,7814.0
3506,2:10:14,Hiroki YAMAGISHI,1991-09-06,JPN,17,Tokyo (JPN),2018-02-25,26,29,2018,7814.0
3507,2:10:14,Shumet AKALNEW,1988-01-29,ETH,3,Mumbai (IND),2019-01-20,30,32,2019,7814.0
3509,2:10:15,Jeff WELLS,1954-05-25,USA,2,"Boston, MA (USA)",1978-04-17,23,66,1978,7815.0
3510,2:10:15,Paul BALLINGER,1953-03-25,NZL,1,Fukuoka (JPN),1982-12-05,29,67,1982,7815.0
3511,2:10:15,Robert DE CASTELLA,1957-02-27,AUS,1,Edinburgh (GBR),1986-08-01,29,63,1986,7815.0
3512,2:10:15,Pier-Giovanni POLI,1957-11-05,ITA,4,London (GBR),1987-05-10,29,63,1987,7815.0
3513,2:10:15,Valdenor PEREIRA DOS SANTOS,1969-12-21,BRA,3,Fukuoka (JPN),1994-12-04,24,50,1994,7815.0
3514,2:10:15,Philip CHIRCHIR,1968-03-11,KEN,3,Roma (ITA),1999-03-21,31,52,1999,7815.0
3515,2:10:15,Migidio BOURIFA,1969-01-31,ITA,4,Venezia (ITA),2000-10-22,31,51,2000,7815.0
3516,2:10:15,Daniel Kipkurgat RONO,1978-07-13,KEN,1,Toronto (CAN),2006-09-24,28,42,2006,7815.0
3517,2:10:15,Adil ENNANI,1980-06-30,MAR,1f1,Beppu (JPN),2009-02-01,28,40,2009,7815.0
3518,2:10:15,Yaroslav MUSHINSKI,1976-08-08,MDA,2,Ljubljana (SLO),2009-10-25,33,44,2009,7815.0
3519,2:10:15,William Chebon CHEBOR,1982-12-22,KEN,2,"San Diego, CA (USA)",2010-06-06,27,37,2010,7815.0
3520,2:10:15,Gidena GEBREMEDHIN,1982-01-01,ETH,4,See Genezareth (ISR),2011-01-06,29,38,2011,7815.0
3521,2:10:15,Abraham CHELANGA,1984-01-01,KEN,4,Reims (FRA),2011-10-16,27,36,2011,7815.0
3522,2:10:15,Benson Kipchumba BARUS,1980-07-04,KEN,3,Beijing (CHN),2011-10-16,31,40,2011,7815.0
3523,2:10:15,Teshome Etanat GELANA,1983-10-31,ETH,4,Marrakesh (MAR),2012-01-29,28,37,2012,7815.0
3524,2:10:15,Abdissa SORI,1980-01-01,ETH,4,Hannover (GER),2012-05-06,32,40,2012,7815.0
3525,2:10:15,Eliud KIPTANUI,1989-06-06,KEN,2,Beijing (CHN),2012-11-25,23,31,2012,7815.0
3526,2:10:15,Abraham GIRMA,1986-09-21,ETH,4,Mumbai (IND),2013-01-20,26,34,2013,7815.0
3527,2:10:15,Dickson CHUMBA,1986-10-27,KEN,8,Amsterdam (NED),2013-10-20,26,34,2013,7815.0
3528,2:10:15,Duncan Kipkurui MAIYO,1990-08-05,KEN,1,Brighton (GBR),2015-04-12,24,30,2015,7815.0
3529,2:10:15,Ser-Od BAT-OCHIR,1981-10-07,MGL,6,Hamburg (GER),2015-04-26,33,39,2015,7815.0
3531,2:10:15,Suleiman Kipses SIMOTWO,1980-04-21,KEN,3,Wien (AUT),2016-04-10,35,40,2016,7815.0
3532,2:10:15,Yitayal Atnafu ZERIHUN,1993-01-20,ETH,16,Amsterdam (NED),2017-10-15,24,27,2017,7815.0
3533,2:10:15,Shumet AKALNEW,1988-01-29,ETH,11,Paris (FRA),2018-04-08,30,32,2018,7815.0
3534,2:10:15,Eliud BARNGETUNY,1987-02-23,KEN,1,Madrid (ESP),2018-04-22,31,33,2018,7815.0
3535,2:10:15,Takuya NOGUCHI,1988-07-02,JPN,4,Gold Coast (AUS),2018-07-01,29,32,2018,7815.0
3536,2:10:15,Kenneth KETER,1996-08-04,KEN,10,Wien (AUT),2019-04-07,22,24,2019,7815.0
3537,2:10:15,Kohei OGINO,1989-12-08,JPN,9,Hamburg (GER),2019-04-28,29,31,2019,7815.0
3538,2:10:15,Emmanuel NAIBEI,1980-01-01,KEN,3,Beijing (CHN),2019-11-03,39,40,2019,7815.0
3539,2:10:15,Terefa DEBELA,1998-01-01,ETH,2,Shenzhen (CHN),2019-12-15,21,22,2019,7815.0
3540,2:10:15,Tigabu GEBREMARIAM,1990-11-03,ETH,17,Dubai (UAE),2020-01-24,29,30,2020,7815.0
3541,2:10:16,Jan HURUK,1960-01-27,POL,2,Wien (AUT),1990-04-22,30,60,1990,7816.0
3542,2:10:16,Kedebe GEMECHU,1973-01-01,ETH,3,San Sebastián (ESP),1993-10-31,20,47,1993,7816.0
3543,2:10:16,Roberto BARBI,1965-03-25,ITA,6,Roma (ITA),2000-01-01,34,55,2000,7816.0
3544,2:10:16,Makhosonke FIKA,1973-01-20,RSA,9,Berlin (GER),2003-09-28,30,47,2003,7816.0
3545,2:10:16,Christopher CHEBOIBOCH,1977-03-03,KEN,1,Leipzig (GER),2004-04-25,27,43,2004,7816.0
3546,2:10:16,Abraham CHELANGA,1984-01-01,KEN,3,Reims (FRA),2007-10-21,23,36,2007,7816.0
3547,2:10:16,Deressa CHIMSA,1976-11-21,ETH,7,Dubai (UAE),2008-01-18,31,44,2008,7816.0
3548,2:10:16,Henry Kapkiai KIMELI,1983-01-01,KEN,3,Roma (ITA),2008-03-16,25,37,2008,7816.0
3549,2:10:16,Justus Kipchirchir KIPRONO,1987-02-28,KEN,4,Hamburg (GER),2010-04-25,23,33,2010,7816.0
3550,2:10:16,Chala LEMI,1987-02-26,ETH,8,Toronto (CAN),2010-09-26,23,33,2010,7816.0
3551,2:10:16,Peter Kimeli SOME,1990-06-05,KEN,3,Padova (ITA),2011-04-17,20,30,2011,7816.0
3552,2:10:16,Debebe TOLOSSA,1980-01-01,ETH,7,Hengshui (CHN),2012-09-22,32,40,2012,7816.0
3553,2:10:16,Julius CHEPWONY,1986-01-01,KEN,4,Ljubljana (SLO),2014-10-26,28,34,2014,7816.0
3554,2:10:16,Lawrence CHERONO,1988-08-07,KEN,2,Algiers (ALG),2014-11-01,26,32,2014,7816.0
3555,2:10:16,Silah LIMO,1992-02-01,KEN,4,Wien (AUT),2016-04-10,24,28,2016,7816.0
3556,2:10:16,Koen NAERT,1989-09-03,BEL,10,Rotterdam (NED),2017-04-09,27,31,2017,7816.0
3557,2:10:16,Bonsa DIDA,1995-01-21,ETH,1,Madrid (ESP),2017-04-23,22,25,2017,7816.0
3558,2:10:16,Bernard Kiprop KIPYEGO,1986-07-16,KEN,10,Seoul (KOR),2018-03-18,31,34,2018,7816.0
3559,2:10:16,Michael KUNYUGA,1987-07-27,KEN,2,Hannover (GER),2018-04-08,30,33,2018,7816.0
3560,2:10:16,Bart VAN NUNEN,1995-09-24,NED,33,Valencia (ESP),2020-12-06,25,25,2020,7816.0
3561,2:10:17,Geir KVERNMO,1955-10-29,NOR,5,London (GBR),1987-05-10,31,65,1987,7817.0
3562,2:10:17,Willie MTOLO,1964-05-05,RSA,2,Rotterdam (NED),1994-04-17,29,56,1994,7817.0
3563,2:10:17,Akira ZAYASU,1973-01-15,JPN,5,Fukuoka (JPN),1995-12-03,22,47,1995,7817.0
3564,2:10:17,Andrew SAMBU,1972-10-05,TAN,10,Berlin (GER),1997-09-28,24,48,1997,7817.0
3565,2:10:17,Stephen KIRWA,1966-03-01,KEN,3,Chuncheon (KOR),1997-10-26,31,54,1997,7817.0
3566,2:10:17,Silvio GUERRA,1968-09-18,ECU,9,"Chicago, IL (USA)",1998-10-11,30,52,1998,7817.0
3567,2:10:17,Erick WAINAINA,1973-12-19,KEN,1,Nagano (JPN),2000-04-09,26,46,2000,7817.0
3568,2:10:17,Toshihiro IWASA,1976-05-18,JPN,6,Otsu (JPN),2002-03-03,25,44,2002,7817.0
3569,2:10:17,Christopher KANDIE,1969-09-19,KEN,1,Hamburg (GER),2002-04-21,32,51,2002,7817.0
3570,2:10:17,Ian SYSTER,1976-01-20,RSA,7,"Stade de France, Paris-St-Denis (FRA)",2003-08-30,27,44,2003,7817.0
3571,2:10:17,Stanley LELEITO,1984-06-15,KEN,1,Zürich (SUI),2005-04-03,20,36,2005,7817.0
3572,2:10:17,Hosea Kiprop ROTICH,1979-08-02,KEN,1,Nairobi (KEN),2006-10-29,27,41,2006,7817.0
3573,2:10:17,Evans Kipkosgei RUTO,1984-01-14,KEN,1,Ljubljana (SLO),2010-10-24,26,36,2010,7817.0
3574,2:10:17,Tekeste NEKATIBEBE,1988-02-14,ETH,4,Roma (ITA),2011-03-20,23,32,2011,7817.0
3575,2:10:17,Girma BEYENE,1983-11-28,ETH,3,Enschede (NED),2011-04-17,27,37,2011,7817.0
3576,2:10:17,Wilfred Kibet KIGEN,1975-02-23,KEN,17,Frankfurt (GER),2011-10-30,36,45,2011,7817.0
3577,2:10:17,Hailu SEIFU,1987-01-01,ETH,2,Firenze (ITA),2011-11-27,24,33,2011,7817.0
3578,2:10:17,Bazu WORKU HAYLA,1990-09-15,ETH,1,"Houston, TX (USA)",2013-01-13,22,30,2013,7817.0
3579,2:10:17,Gezahegne ABERA,1983-12-06,ETH,1,Barcelona (ESP),2013-03-17,29,37,2013,7817.0
3580,2:10:17,Lawrence KIMAYO,1990-09-02,KEN,2,Madrid (ESP),2014-04-27,23,30,2014,7817.0
3581,2:10:17,Augustine RONO,1982-01-01,KEN,5,Ljubljana (SLO),2014-10-26,32,38,2014,7817.0
3582,2:10:17,Herpasa NEGASA,1993-09-11,ETH,2,Lyon (FRA),2015-10-04,22,27,2015,7817.0
3583,2:10:17,Herpasa NEGASA,1993-09-11,ETH,4,Mumbai (IND),2016-01-17,22,27,2016,7817.0
3584,2:10:17,Tadesse TEMECHACHU,1991-01-01,ETH,3,Košice (SVK),2016-10-02,25,29,2016,7817.0
3585,2:10:17,Meshak KOECH,1988-01-01,KEN,11,Rotterdam (NED),2017-04-09,29,32,2017,7817.0
3586,2:10:17,Callum HAWKINS,1992-06-22,GBR,4,"Olympic Stadium, London (GBR)",2017-08-06,25,28,2017,7817.0
3587,2:10:17,Barnabas KIPTUM,1986-12-08,KEN,3,Milano (ITA),2018-04-08,31,34,2018,7817.0
3588,2:10:17,Edwin KIPTOO,1987-12-28,KEN,4,Madrid (ESP),2019-04-27,31,32,2019,7817.0
3589,2:10:18,Simeon KIGEN,1961-06-07,KEN,1,"San Francisco, CA (USA)",1984-08-19,23,59,1984,7818.0
3590,2:10:18,Willie MTOLO,1964-05-05,RSA,1,Cape Town (RSA),1988-04-30,23,56,1988,7818.0
3591,2:10:18,Martin NDWHENI,1965-02-02,RSA,5,Berlin (GER),1996-09-29,31,55,1996,7818.0
3592,2:10:18,Kamal ZIANI,1972-02-20,MAR,2,Amsterdam (NED),1997-11-02,25,48,1997,7818.0
3593,2:10:18,Lukas KIBET,1973-06-19,KEN,3,Amsterdam (NED),2001-10-21,28,47,2001,7818.0
3594,2:10:18,Teferi WODAJO,1982-01-27,ETH,2,Beppu (JPN),2003-02-02,21,38,2003,7818.0
3595,2:10:18,Benjamin PSERET,1980-01-01,KEN,1,Treviso (ITA),2007-03-25,27,40,2007,7818.0
3596,2:10:18,Oleksandr SITKOVSKIY,1978-06-09,UKR,2,Torino (ITA),2008-04-13,29,42,2008,7818.0
3597,2:10:18,Elias Kiptum MAINDI,1980-06-06,KEN,1,Linz (AUT),2008-04-13,27,40,2008,7818.0
3598,2:10:18,Tesfaye GIRMA,1982-09-25,ETH,4,Reims (FRA),2010-10-17,28,38,2010,7818.0
3599,2:10:18,Laban Kipkemoi MOIBEN,1983-10-30,KEN,1,Ottawa (CAN),2011-05-29,27,37,2011,7818.0
3600,2:10:18,Bernard ROTICH,1986-08-11,KEN,18,Frankfurt (GER),2011-10-30,25,34,2011,7818.0
3601,2:10:18,Solomon BUSHENDICH,1984-01-10,KEN,6,Xiamen (CHN),2013-01-05,28,36,2013,7818.0
3602,2:10:18,Jonathan MAIYO,1988-05-05,KEN,10,Tokyo (JPN),2013-02-24,24,32,2013,7818.0
3603,2:10:18,Viktor RÖTHLIN,1974-10-14,SUI,8,Otsu (JPN),2013-03-03,38,46,2013,7818.0
3604,2:10:18,Samwel MASWAI,1988-03-29,KEN,8,Berlin (GER),2014-09-28,26,32,2014,7818.0
3605,2:10:18,Tewelde ESTIFANOS,1987-10-02,ERI,1,Oita (JPN),2015-02-01,27,33,2015,7818.0
3606,2:10:18,Rachid KISRI,1975-03-01,MAR,4,Ottawa (CAN),2015-05-24,40,45,2015,7818.0
3607,2:10:18,Vincent KIPRUTO,1987-09-13,KEN,1,Xiamen (CHN),2016-01-02,28,33,2016,7818.0
3608,2:10:18,Japheth KOSGEI,1988-01-01,KEN,5,Ljubljana (SLO),2016-10-30,28,32,2016,7818.0
3609,2:10:18,Stephen MOKOKA,1985-01-31,RSA,1,Shanghai (CHN),2016-10-30,31,35,2016,7818.0
3610,2:10:18,Daichi KAMINO,1993-09-13,JPN,18,Tokyo (JPN),2018-02-25,24,27,2018,7818.0
3611,2:10:18,Barselius KIPYEGO,1993-07-22,KEN,4,Praha (CZE),2018-05-06,24,27,2018,7818.0
3612,2:10:18,Goitom KIFLE,1993-12-03,ERI,10,Praha (CZE),2019-05-05,25,27,2019,7818.0
3613,2:10:18,Hendrik PFEIFFER,1993-03-18,GER,28,Sevilla (ESP),2020-02-23,26,27,2020,7818.0
3614,2:10:19,Tony SANDOVAL,1954-05-19,USA,1,"Niagara Falls, NY (USA)",1980-05-24,26,66,1980,7819.0
3615,2:10:19,Shigeru SOH,1953-01-09,JPN,3,Fukuoka (JPN),1981-12-06,28,67,1981,7819.0
3616,2:10:19,Gidamis SHAHANGA,1957-09-04,TAN,1,"Los Angeles, CA (USA)",1984-02-19,26,63,1984,7819.0
3617,2:10:19,Martín MONDRAGÓN,1953-11-11,MEX,1,"Los Angeles, CA (USA)",1988-03-06,34,67,1988,7819.0
3618,2:10:19,Manuel MATIAS,1962-03-30,POR,4,"Chicago, IL (USA)",1988-10-30,26,58,1988,7819.0
3619,2:10:19,Koichi MORISHITA,1967-09-05,JPN,1,Tokyo (JPN),1992-02-09,24,53,1992,7819.0
3620,2:10:19,Ei-gu HUH,1964-02-25,KOR,4,Chuncheon (KOR),1992-03-22,28,56,1992,7819.0
3621,2:10:19,Toshiyuki HAYATA,1968-05-02,JPN,3,Tokyo (JPN),1994-02-13,25,52,1994,7819.0
3622,2:10:19,David NGETICH,1980-05-19,KEN,2,Praha (CZE),2001-05-20,21,40,2001,7819.0
3623,2:10:19,Barnabas KOECH,1978-01-01,KEN,3,Eindhoven (NED),2004-10-10,26,42,2004,7819.0
3624,2:10:19,James Kipsang KWAMBAI,1983-02-28,KEN,1,Brescia (ITA),2006-04-30,23,37,2006,7819.0
3625,2:10:19,David Maiyo CHIRCHIR,1976-11-05,KEN,2,Treviso (ITA),2007-03-25,30,44,2007,7819.0
3626,2:10:19,Benson Kipchumba CHERONO,1984-06-30,QAT,3,Venezia (ITA),2009-10-25,25,36,2009,7819.0
